scope,cluster,n_countries,rotation,mean_primary_abs_loading,mean_cross_loading_gap,simple_feature_share,covariance_reconstruction_rmse,warning
global,all,217,varimax,0.5662476989432838,0.3913766121072797,0.6363636363636364,0.10614542819869299,
cluster,1,46,varimax,0.40770480334735093,0.2592968522115177,0.18181818181818182,0.1088611739809488,small sample for EFA; prefer at least 55 rows
cluster,2,34,varimax,0.5529191079940925,0.3670782825346171,0.36363636363636365,0.10655179814039449,small sample for EFA; prefer at least 55 rows
cluster,3,108,varimax,0.4479186845350281,0.3663988491528405,0.45454545454545453,0.12503851518099846,
cluster,4,29,varimax,0.5935375516491441,0.43724742978200537,0.45454545454545453,0.14087731266690698,small sample for EFA; prefer at least 55 rows
within_clusters_weighted_mean,all,217,varimax,0.4753063481722834,0.3532698985257683,0.3824884792626728,0.12082938639071518,weighted summary of cluster-specific EFAs
