cluster,feature,factor_1,factor_2
2,net_investment_in_nonfinancial_assets_percent_of_gdp,0.058085310965999004,-0.5103226784635035
2,taxes_on_goods_and_services_percent_of_revenue,0.11446845748923654,-0.16491693265506221
2,taxes_on_goods_and_services_percent_value_added_of_industry_and_services,0.22760759618493426,-0.38445722935046245
2,goods_and_services_expense_percent_of_expense,0.48513770132149997,0.1325162861397878
2,statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,-0.3423590400636056,-0.37934906385998834
2,logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,-0.5282615853960974,-0.2766276769622673
2,exports_of_goods_and_services_current_usd,-0.9636878348973607,-0.02441508227692375
2,exports_of_goods_and_services_constant_2015_usd,-0.8418904893334678,-0.21662100754703292
2,exports_of_goods_and_services_annual_percent_growth,-0.077510803691552,-0.3053262762075145
2,exports_of_goods_and_services_percent_of_gdp,-0.07280423503355005,-0.9443357299731999
2,imports_of_goods_and_services_current_usd,-0.9515429407188135,0.010710779038433512
2,imports_of_goods_and_services_constant_2015_usd,-0.8405525412071202,-0.157495504818504
2,imports_of_goods_and_services_annual_percent_growth,0.0507824515828082,-0.18837307196282185
2,imports_of_goods_and_services_percent_of_gdp,0.23814686198693696,-0.7650469313706653
2,external_balance_on_goods_and_services_percent_of_gdp,-0.2468416051312632,-0.28305198465577036
2,services_value_added_per_worker_constant_2015_usd,-0.38762988181255714,-0.49860688295849437
2,services_value_added_current_usd,-0.9682073705986773,0.1737176835799767
2,services_value_added_constant_2015_usd,-0.9589018398138595,0.2127300506562902
2,services_value_added_annual_percent_growth,0.2791269460980328,-0.09996377937658156
2,services_value_added_percent_of_gdp,0.34191065736457155,0.019821640263269623
2,inflation_gdp_deflator_annual_percent,-0.16465913435447424,0.16598268621955312
2,inflation_gdp_deflator_linked_series_annual_percent,-0.16618335515443122,0.1663017831138916
2,foreign_direct_investment_net_bop_percent_of_gdp,-0.02325252721667238,0.20576745395535098
3,trade_in_services_percent_of_gdp,-0.6392631981885905,0.14104570441340922
3,imports_of_goods_and_services_bop_current_usd,0.9928176209394064,0.003947432007002775
3,insurance_and_financial_services_percent_of_service_imports_bop,0.22580710370696983,-0.2669327199194053
3,imports_of_goods_services_and_primary_income_bop_current_usd,0.9943811764355099,0.004215473843934272
3,transport_services_percent_of_service_imports_bop,0.02957305584503416,-0.2559548397068393
3,travel_services_percent_of_service_imports_bop,-0.017811411158157372,-0.0924434715343206
3,foreign_direct_investment_net_outflows_percent_of_gdp,0.0692203665579432,0.03775675258509159
3,portfolio_investment_net_bop_current_usd,-0.027694869116773203,-0.06809906701915863
3,exports_of_goods_and_services_bop_current_usd,0.9953132419625251,0.051289788374072866
3,insurance_and_financial_services_percent_of_service_exports_bop,0.11143718173092762,-0.0038400690093505626
