country_name,iso3_country_code,world_bank_region,world_bank_income_group,observation_year,trade_in_services_percent_of_gdp,imports_of_goods_and_services_bop_current_usd,insurance_and_financial_services_percent_of_service_imports_bop,imports_of_goods_services_and_primary_income_bop_current_usd,transport_services_percent_of_service_imports_bop,travel_services_percent_of_service_imports_bop,foreign_direct_investment_net_outflows_percent_of_gdp,portfolio_investment_net_bop_current_usd,exports_of_goods_and_services_bop_current_usd,insurance_and_financial_services_percent_of_service_exports_bop,exports_of_goods_services_and_primary_income_bop_current_usd,transport_services_percent_of_service_exports_bop,travel_services_percent_of_service_exports_bop,foreign_direct_investment_net_inflows_percent_of_gdp,short_term_debt_percent_of_exports_of_goods_services_and_primary_income,net_oda_received_percent_of_imports_of_goods_services_and_primary_income,total_debt_service_percent_of_exports_of_goods_services_and_primary_income,debt_service_ppg_and_imf_only_percent_of_exports_of_goods_services_and_primary_income,public_and_publicly_guaranteed_debt_service_percent_of_exports_of_goods_services_and_primary_income,inflation_consumer_prices_annual_percent,net_investment_in_nonfinancial_assets_percent_of_gdp,taxes_on_goods_and_services_percent_of_revenue,taxes_on_goods_and_services_percent_value_added_of_industry_and_services,goods_and_services_expense_percent_of_expense,statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,exports_of_goods_and_services_current_usd,exports_of_goods_and_services_constant_2015_usd,exports_of_goods_and_services_annual_percent_growth,exports_of_goods_and_services_percent_of_gdp,imports_of_goods_and_services_current_usd,imports_of_goods_and_services_constant_2015_usd,imports_of_goods_and_services_annual_percent_growth,imports_of_goods_and_services_percent_of_gdp,external_balance_on_goods_and_services_percent_of_gdp,services_value_added_per_worker_constant_2015_usd,services_value_added_current_usd,services_value_added_constant_2015_usd,services_value_added_annual_percent_growth,services_value_added_percent_of_gdp,inflation_gdp_deflator_annual_percent,inflation_gdp_deflator_linked_series_annual_percent,foreign_direct_investment_net_bop_percent_of_gdp
Australia,AUS,East Asia & Pacific,High income,2022,7.82481458499816,379981045953.32,3.42423478461056,521119827406.908,29.1469763985018,24.2094720821042,7.51047314791849,-79208279987.7068,465989758944.171,7.54198975250733,528923808088.745,7.06981726674986,45.9607827370624,4.05215286724898,,,,,,6.59409671341846,0.844579704240914,17.7852424536736,5.2145531315842,10.7614858942437,94.0,3.9,431732710875.763,295235049708.727,-0.33455445710176,25.4615298373659,343078219088.328,323598987302.152,7.33681827431826,20.2331120432093,5.22841779415654,103888.932342877,1074396691900.19,1118003568586.8,5.08305715429147,63.3627768729711,7.1995443407201,7.1995443407201,3.458320280669504
Austria,AUT,Europe & Central Asia,High income,2022,33.5996165578943,294323502211.391,3.85037263357091,334479810225.23,29.2102587386198,15.7708271579684,3.04590408098417,857332578.923152,291804028109.497,4.47870878909726,334091432636.878,26.5194897296624,23.790088421673,3.0221599256451,,,,,,8.5468699318845,2.92064314271683,25.8721955109701,13.1316788279247,6.6724461128581,89.5333333333333,4.0,290687124329.312,256962745896.753,9.44574955082808,61.4273121186873,294117763031.398,244632643088.804,6.93109063316706,62.1522665342146,-0.724954415527277,85187.4255813939,295459947234.102,267504870459.738,7.05166551279935,62.4358937094137,5.02343156333271,4.75477807605142,0.023744155339079528
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2022,16.2834930549284,21274432000.0,3.01951677841286,28303394000.0,24.1123105912315,11.495868241141,0.218519892485559,1793085000.0,47274089000.0,0.71918637453223,48816073000.0,54.5996136474909,16.2463025859648,-5.67773710614177,1.03716863910786,0.171347540491536,3.28802752077169,2.92152381204445,2.9024353120334,13.8522590144267,6.11260786712517,16.6312726964036,7.42628246620012,42.5541137461921,69.3333333333333,,47274117647.0588,,,59.9868480668076,21274411764.7059,,,26.9954251873703,32.9914228794374,11507.7957444518,25274705882.3529,26867143976.9434,9.72524689468048,32.0714593346256,37.2707211293747,37.2707211293747,5.896256998627333
"Bahamas, The",BHS,Latin America & Caribbean,High income,2022,47.3089936781131,5842673853.30861,13.7672255257655,6771358755.95714,22.1697805835701,8.6408540638314,1.5434039348627,-99839000.0,5425412377.63439,,5470918500.17439,2.28854288206703,91.5594792745426,3.82040434055862,,,,,,5.60540633583044,1.61882454953658,57.1293087851086,11.9265488130243,20.583732250955,27.6666666666667,2.5,5163900000.0,4314140983.38046,42.654028436019,37.1589142824247,5395300000.0,3759378537.89403,-0.945734081828746,38.8240458234989,-1.6651315410742,55264.7811994639,11160500000.0,10113196104.3603,12.4901384992987,80.3098555063036,4.12416966285063,4.12416966285063,-2.2770004056959143
Bahrain,BHR,Middle East & North Africa,High income,2022,54.894357086101,33066489361.7021,38.6426162053541,39173936170.2127,34.9417478050765,8.80600942561186,4.19274250241008,-501063829.787242,44579521276.5957,36.2396006655575,48724202127.6595,11.0926234054354,28.2325753374007,4.20018456310523,,,,,,3.62574104304482,,,,,73.7,3.3,44581914893.617,37147999555.7915,9.16183012330711,95.9613654006004,33068882978.7234,29693884553.2369,11.8886793343933,71.1798757519344,24.781489648666,40839.8256389666,22876542553.1915,22332761894.6414,6.21216267175271,49.2411387955769,7.13488879900781,7.13488879900781,-0.007442060695157559
Bangladesh,BGD,South Asia,Lower middle income,2022,4.43872669470757,93634992762.0944,6.49406948205671,96850113683.3775,67.9026801153784,10.8772083999598,0.0068671944614931,323222901.943948,60066498548.0042,2.41254787712627,60494519966.4452,17.5403184719236,5.10823371365057,0.347960024540439,30.6309894024751,5.37406905809425,11.2392162165619,5.94458952677812,5.6232137834747,7.69695437176898,,,,,61.6666666666667,2.7,59275206086.406,46780850864.3021,29.3925550968107,12.8822264348985,96157127887.3964,78739971067.3165,31.1830863627875,20.897740835675,-8.01551440077645,5765.79617929467,234842391905.645,157537177530.748,6.25665320244109,51.0380826788136,5.04902187883131,5.04902187883131,-0.34844152893568514
Barbados,BRB,Latin America & Caribbean,High income,2022,,,,,,,0.217868088134904,,,,,,,2.90490784179872,,,,,,,,,,,57.6333333333333,,,,,,,,,,,38375.8823021092,5212050000.0,4373999010.86776,18.3682196713932,75.7026245842351,-1.2507343562654,-1.2507343562654,
Belarus,BLR,Europe & Central Asia,Upper middle income,2022,19.8685683337544,42437568374.43,,46738703213.82,,,0.244254053645359,523959908.07,47123603662.24,,48413827335.64,,,2.17745011943276,20.9530614666615,0.0375459100149292,14.0645147381013,7.39753245032854,7.36035125047172,15.209675274081,1.30185408147991,29.0289212848521,9.98292145076535,13.2513255702128,87.1333333333333,2.6,46516126575.5303,31645377151.9404,-21.0497307323432,63.0511868938428,42031948516.812,32397993188.1876,-18.1504411888176,56.973020682251,6.07816621159176,9948.52652518392,35561517078.5576,27758388168.787,-4.80011374145816,48.2025487635555,14.8848623635367,14.8848623635367,-1.9331960657873957
Belgium,BEL,Europe & Central Asia,High income,2022,47.7510129042719,570433423956.616,7.65957008138065,639867442929.533,20.8517997728548,13.7097916466748,5.79523119469757,-666700888.853115,557883833891.086,7.91008517734789,635323491685.161,21.8629054892364,6.15627476959799,2.22243107053374,,,,,,9.597511728725,0.61051923084803,25.4734910825965,10.6325086735035,2.84016399873571,86.9333333333333,4.2,558111144796.111,467043878624.463,3.05111415929372,94.4213446744405,571920929941.442,457090457451.42,3.47829121944936,96.7576866293456,-2.33634195490505,94095.6852798505,410631577720.819,370983584866.439,3.57479211013232,69.470724775351,6.6990376118661,6.84397581715184,3.5728001241638117
Belize,BLZ,Latin America & Caribbean,Upper middle income,2022,42.19946168652,1573571150.24019,7.71165238821043,1718203469.88002,51.0592223004224,17.2455975689401,0.0421698501936175,593.112906394258,1369057014.11085,1.27427735818687,1379756951.78336,3.95923882714368,70.5398204899069,4.95003696669658,0.715053472805337,1.22295845782805,5.57148974684561,5.25143337791105,5.20291173798495,6.27689319447544,,,,,64.8666666666667,,1496710050.0,1260964385.73374,12.7968094946364,52.5787874243921,1573075200.0,1323710013.48884,10.2070360806308,55.2614626616446,-2.68267523725241,14732.5991348272,1753663050.0,1536561055.87094,10.4683727592038,61.6054370183197,7.28685491123275,7.28685491123275,-4.90786711650296
Benin,BEN,Sub-Saharan Africa,Lower middle income,2022,8.56260874437909,5295687243.63988,1.89683846976962,5734215057.0114,67.2960640813773,7.0530846387251,0.267251738803056,94976091.2048849,4271214670.05185,3.93930042282964,4584341485.64333,30.2611003619926,43.5752748526626,2.15770537478617,36.1233997333339,14.7963212475253,11.2720641300019,10.2682374856711,9.93338586416617,1.35077863583527,,,,,69.4,3.0,3627155581.76734,3768869945.46579,14.4732896924201,20.8153300474458,4106516764.69897,4173801040.04641,-4.60047705889988,23.5662628402967,-2.75093279285089,3407.85445538091,8171454645.81479,7941148688.16416,6.00560288361309,46.8939149661431,4.13899447875367,4.13899447875367,-1.890453635983122
Bermuda,BMU,North America,High income,2022,30.5232923362384,2235356720.49132,18.214328606188,2410531842.88296,25.1259879188718,24.8949710640026,0.261621796049747,-36315964.040081,1425451184.85552,21.7012850336936,3767622622.42194,2.4003640431011,28.3262642015175,0.0748475167550859,,,,,,,,,,,,,3960723000.0,3383998288.58192,9.82059156295459,50.2988488872967,1960593000.0,1566201977.26807,8.57233704292528,24.898376139026,25.4004727482706,,7132730000.0,6418425260.75176,7.21782015804639,90.5814691973883,1.44579348544707,1.44579348544707,0.18677427929466087
Bhutan,BTN,South Asia,Lower middle income,2022,7.99195920205781,1581323680.0321,8.71568234448794,1767144276.65962,39.7387502694111,18.4865175935224,,38673327.8568439,791342207.519414,66.8609136310116,815675848.489586,18.2473648427667,1.08673324588385,0.289904655137253,0.675636039758306,11.0461332115353,16.1948695115357,15.894259899943,15.8391334669571,5.6391667139637,,,,,64.0333333333333,2.6,739014454.021463,648799323.118149,-9.14277042244328,25.4988399587876,1741034283.90625,1299039363.17149,17.0142684021794,60.0723765638263,-34.5735366050386,9773.19440867239,1483799697.90785,1440742975.93469,6.81982159519706,51.196794354919,5.79485516979783,5.79485516979783,-0.28990465513725244
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2022,7.05926151799077,13464956648.0172,8.02063463273739,14824314424.9722,40.789705573157,23.792364491642,-0.158547464896774,-421137383.102297,14682910446.745,0.193678380343651,14778523713.4211,34.4303572894334,56.1579036687813,0.0122391923945909,4.26821387732497,2.26475749302076,16.275104418689,12.4743251382431,12.2431689902614,1.74632872945969,,,,,66.9333333333333,2.4,14163562908.8278,10951339862.8782,11.0099895169059,27.7939915042015,15150615137.4819,12649909878.6956,15.1135766353059,29.7309420747615,-1.93695057055997,5147.9777328223,26936138437.0478,17835523102.3871,5.41380963493556,52.8583667608579,2.59100275081603,2.59100275081603,-0.170786657291362
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2022,16.0060233553226,15165887707.9351,4.84380594208419,16259504635.9712,44.2173247287104,31.9475680519886,0.328869749098033,137948408.524092,11837507423.329,0.223984883709153,12608343758.2434,21.8340065516167,47.6392174414986,3.7882728069108,20.8782933783743,1.75322070889387,7.90369523474478,4.04732477077056,3.65183753654372,14.0208440826771,2.53541152824575,43.2873207126576,19.7202523948825,17.3167052053308,63.8333333333333,2.9,11851991205.4153,9066143200.81068,11.7888063693615,48.3071273410035,15186504625.8698,11757983049.6715,6.22813865663971,61.8981570363834,-13.5910296953799,18533.0265947545,13371805267.0699,11259626690.7128,5.43311441763761,54.5016857184557,11.8088381857197,11.8088381857197,-3.459403057812765
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2022,8.61991304246366,8826018703.29609,1.34894284934986,10298234360.9171,34.2391612201379,7.8213888889898,0.0497905578099262,-649823569.384124,9025014814.77475,0.337049046419342,9164450689.89692,5.92696438372886,65.9892466164081,3.49204705165089,1.22244097099572,0.881271917175644,1.92955567642417,1.80511731841921,1.73584061045113,11.665567478802,4.33614439640333,13.8033736170746,4.33272071781102,22.394540362607,68.9,3.4,8848562925.38457,6442048652.84074,-5.36913319816904,43.5436117763611,8548721137.88168,6829264641.957,-11.7577619978629,42.0680959779821,1.47551579837902,20071.5303627062,11466871989.6048,10889487647.4869,4.82966809312049,56.4282614493451,14.6176767241876,14.6176767241876,-3.4422564938409583
Brazil,BRA,Latin America & Caribbean,Upper middle income,2022,6.27385951536186,370849026421.7,3.5994651770468,467391857998.72,31.5201784586751,16.3775821406283,1.70880603590923,2919022466.94,380492383400.51,5.75493814680706,420505075020.24,16.0487232779508,12.2913307115689,3.86803201499441,16.1166906241828,0.12375358591974,29.9040449782556,7.40409236083534,7.33530301084127,9.28010608956873,0.199306479656273,17.8137291867424,5.93285753536883,2.13202266932355,87.3333333333333,3.3,383177580523.381,268995417047.527,5.74283986728443,19.6307650034838,374482461947.998,275027501896.723,0.951493762686198,19.1853009729483,0.445464030535458,17607.4176579911,1133818506744.43,1205941107645.36,4.25668729161347,58.0872310746862,8.57028196142548,8.57028196142548,-2.1592259790851807
British Virgin Islands,VGB,Latin America & Caribbean,High income,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,East Asia & Pacific,High income,2022,8.44777311904554,10099328323.22,6.63250717793227,11020574314.0382,21.2797034017785,10.5861657060527,,457317406.841151,14405125073.7313,0.631763438382643,14947451448.0173,69.994986913981,4.8641395030582,-1.73946797718401,,,,,,3.68225030604216,,,,,71.0333333333333,,14411072071.9153,9520109593.7147,7.15602803348223,86.3893568836847,10106443642.8719,8908823732.16628,11.5251061465501,60.5846089959126,25.8047478877721,32756.2062048335,5424866130.60895,5500921018.80675,3.76978090899071,32.5201826668198,24.2367268387765,24.2367268387765,1.739467977184003
Bulgaria,BGR,Europe & Central Asia,High income,2022,23.3144148017558,62261400000.0,9.8272734762344,69949730000.0,34.6120237325082,20.6596535205066,1.89399277023502,1198080000.0,63245690000.0,6.21532490459443,65887330000.0,20.6555696626728,25.2427028522741,5.24661564677497,15.1631945018868,,14.1772592659317,,2.93959482604622,15.3252589264366,2.04669560646854,42.8821014576387,18.3917114927802,8.12760667247731,91.3333333333333,3.3,63335730820.5503,44470930372.7512,12.065399691161,69.9794748927614,62327426615.8175,49013546565.5947,15.3433920115477,68.865402348477,1.11407254428439,20290.0074846502,54207577163.4639,38539670347.424,3.98696407263992,59.8938030075942,15.9184542166472,15.9184542166472,-4.196709131671284
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2022,10.4602270329241,6760734649.25922,16.2737259260181,8102030036.82115,49.5508005818748,5.05410760743782,0.126352497735231,324009419.189249,5813660115.48305,18.3279502099322,6116453756.27101,15.9022409051343,15.0027680433475,3.59640793567206,0.0,17.1853842050267,17.5796065996179,3.43548443220976,3.02121954098875,14.2902354303358,10.4067815736265,40.0126802759668,12.1900622732919,9.62497379344836,69.0,2.4,5813561183.39553,4681589029.55266,-7.0426285961711,31.2180734191588,6760351772.06807,6048549562.52912,7.19683284917376,36.3022167140067,-5.08414329484785,2825.83775076435,8681716849.00176,7672576122.13214,4.19165143337739,46.6196992594799,4.64258435284958,4.64258435284958,-3.4700554379368187
Burundi,BDI,Sub-Saharan Africa,Low income,2022,10.8511158617014,1419095719.62193,2.87179705979944,1469416492.58642,68.0893946374608,7.47093580823668,0.0483173495653549,-7009516.24400895,339790659.833689,9.44027820460355,368734566.340932,4.54008281912775,3.02808203978675,0.625576918322977,0.0718674147177678,39.1037024111536,9.19992072225422,9.19992072225422,6.93601691693665,18.8008786664945,,,,,63.1333333333333,,,,,,,,,,,2540.99511707627,1754990122.90971,1612009494.44123,3.16389420912797,43.4813280068521,15.049386127875,15.049386127875,-0.5772595687576233
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2022,36.3662417195149,1309777341.73184,3.88256122918327,1363646862.52565,38.455413402795,24.3005503690382,0.827336251347449,126449.387810799,851907275.043844,0.597402649669344,877894509.167855,13.6084380320502,70.7622916174003,5.43014452079405,45.0509709161855,6.15387153499659,11.965140367442,11.1175017249526,9.82022818228109,7.93092925430087,,,,,64.6666666666667,,869236485.990215,804881605.998545,78.9314746440226,38.6842542170134,1310225012.87536,1292943723.87237,18.1954048553877,58.3098826343223,-19.6256284173089,11220.1143973472,1550554758.71743,1432535645.42197,13.7313835345263,69.0054495299915,6.34319040438669,6.34319040438669,-4.602808269446574
Cambodia,KHM,East Asia & Pacific,Lower middle income,2022,12.6806587845184,34758832300.4019,9.23422346129674,36655533070.8409,55.7786240761854,17.5051694037978,0.376267127722784,126103250.217347,25496861981.1863,2.20276110797927,25842591243.8337,15.3747984977319,61.045559373305,8.94830125779534,17.8375804365204,4.22570038726804,10.5558668097995,1.81491672980708,1.79776043012272,5.34370264895437,4.71346280069229,46.445050426364,9.69372044606837,16.0001234523802,63.6333333333333,2.4,28878876682.0659,21349050518.6834,21.3394679976063,72.2070606780988,29462601452.0712,24161616587.5679,18.5950857597654,73.6665720833071,-1.4595114052083,3495.23356663812,14552201244.7586,12626885461.2694,3.59745369679165,36.3854761335897,3.48890016581984,3.48890016581984,-8.572034130072584
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2022,9.60422907020245,9758976255.14744,4.46981975457805,11029122259.4327,48.3301166701343,22.1793838855813,0.0616638111647852,476195611.923279,8641339875.11855,3.99619446785085,8799233662.40671,28.9224905438242,31.5143794039976,2.08735032157122,9.98500631201206,10.7626250155479,20.5830912121116,18.7755606509047,18.7109739594037,6.24767713343861,,,,,65.2333333333333,2.1,8568684369.04679,7082954012.68759,2.8973355119678,19.321813317909,9740770348.35567,9392264659.01946,5.28668228192825,21.9647892415588,-2.64297592364977,4737.57303691734,21909559046.6817,20165441581.4982,3.93521059027901,49.4045983659894,6.83105473248673,6.83105473248673,-2.025686510406431
Canada,CAN,North America,High income,2022,13.076983249064,731057631347.407,10.1545252006409,874412564357.718,18.4165118085226,19.6730181430411,4.05712508351208,-116726472506.475,743782464112.909,10.2268691379774,871497085253.693,11.0557681100722,22.5261392119615,2.31755804932899,,,,,,6.80280115341613,0.43034928830491,13.875227510359,,8.20122953103711,92.7333333333333,4.2,743495409319.726,530105504666.859,4.17193888808779,33.9431906669379,731037232134.525,611050062756.213,7.53862321971405,33.374430889461,0.568759777476902,75691.7672147427,,1220142967590.79,4.26330704343741,,7.90676213077326,7.90676213077326,1.7551365028423485
Cayman Islands,CYM,Latin America & Caribbean,High income,2022,86.6349027571183,3286875369.30813,30.668490109803,9649850381.34085,13.8516119007747,15.7538706113033,-11.5210191541731,12031602705.1511,4215244621.6662,57.2109898415732,9155882448.93723,1.98242037025788,15.7577251598261,-47.2171219717417,,,,,,,,,,,,,,,,,,,,,,,5699204410.05398,4955943888.63891,6.43154994961847,85.571568444444,3.88863168836471,3.88863168836471,35.69610281756857
Central African Republic,CAF,Sub-Saharan Africa,Low income,2022,,,,,,,,,,,,,,1.00929791484186,,,5.90048213810493,5.95036808183451,,5.58316735183247,,,,,58.6333333333333,2.9,293074002.707976,127548410.150336,-6.54099884114771,12.3004999986493,784669456.38734,728780996.796458,7.00489413766437,32.9330700029707,-20.6325700043215,2131.93465696185,1010888610.29193,774552394.53721,-0.345306623977095,42.4276300000596,6.01877877272452,6.01877877272452,
Chad,TCD,Sub-Saharan Africa,Low income,2022,,,,,,,,,,,,,,3.44402627536712,,,7.62876857476669,7.59265460091035,,5.78802687843616,,,,,59.2,,5657938456.17481,4157274345.29755,5.86538336413092,31.7353441144244,2897673570.61113,2890718844.856,3.20636702929535,16.2530343175185,15.4823097969059,3997.12039289064,5053999151.67011,4387440437.81883,3.87361782401632,28.3478520444522,14.1477010983256,14.1477010983256,
Channel Islands,CHI,Europe & Central Asia,High income,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10286876280.3494,,5.97962477102479,90.9677077169345,7.35832232268851,7.35832232268851,
Chile,CHL,Latin America & Caribbean,High income,2022,10.8183737285977,118928440858.183,14.8243322150275,147488479493.283,45.5013972992671,7.20986103097872,4.66582130676196,-5635894900.11,107038637837.472,8.30292542914706,120921851414.372,45.5766739525317,12.890005900434,6.2318507042491,,,,,,11.643866711056,1.48482436311764,41.0570219536024,12.3951712564208,8.16880742322379,85.5666666666667,3.1,107256627010.034,70881066194.546,0.798026059112189,35.6066282723137,119270630866.653,96627549440.6052,1.33667137179513,39.5949894702167,-3.98836119790297,27709.7797996918,166795446771.453,174153416733.692,5.41317451008464,55.3720887582081,7.5601573866271,7.5601573866271,-1.5660293976235862
China,CHN,East Asia & Pacific,Upper middle income,2022,4.54463838478613,3141710904547.04,4.95085647296042,3566405403726.97,36.6276929947384,24.9617599151313,1.1467645106016,289053728588.98,3719319844279.64,2.4513429838461,3989644346998.2,39.3382893413363,3.61728143593934,1.03841365474349,31.7118511907114,-0.0078644485734397,11.3335740725489,1.84229534811799,2.41196232435611,1.97357555739051,,29.280483663244,4.62168955866891,,43.8,3.8,3717887818646.97,,,20.2977316914005,3140040863536.23,,,17.1429881849654,3.1547435064351,27756.1793227469,10066450868452.2,9137572831404.96,3.54061798181127,54.9575804271762,1.93427407840763,1.93427407840763,0.10835085585810868
Colombia,COL,Latin America & Caribbean,Upper middle income,2022,9.24242757039335,89568895778.0931,10.4051564907451,113630095021.076,36.1809729736183,23.8655514903933,0.978931362975407,427001372.227451,73501089335.237,0.821014784065822,80475958604.4646,18.1994204684267,44.3648025151555,4.97124137726565,24.0619016359573,1.65850197757675,33.8039730673688,11.1547930364851,10.9480069283837,10.1772313546166,1.38207202872682,27.3855430806744,9.50082595313416,8.39833311056736,85.2,3.1,70468824548.812,48757711676.6825,12.4605664964541,20.3883679938331,96411719930.8215,92629913992.3456,24.0032224989014,27.8942871185028,-7.50591912466972,14271.0695687228,189782460176.0,214428817245.425,7.6173844917564,54.908743854001,14.9250366806978,14.9250366806978,-3.9923100142902297
Comoros,COM,Sub-Saharan Africa,Lower middle income,2022,26.0860946248185,480267905.187344,8.38962075501658,485346590.275314,43.8321858410572,35.1968412099111,,,166031854.320468,1.45665207876528,177719975.710801,4.50709756161795,76.0741409520918,0.337727307705265,0.88036215047992,28.6367087383616,2.72555793496297,2.72555793496297,0.936401039525271,12.5320314570999,,,,,,,158275538.09652,146229619.052495,72.000064627679,12.9470275035631,457719890.953261,375494963.138884,20.2783517435906,37.4417429779068,-24.4947154743437,4205.28376366198,625891356.815207,586504633.257437,2.69150698700804,51.1982629052083,5.18555344072182,5.18555344072182,-0.3377273077052637
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,2022,7.19944741757937,31698582113.2778,18.4618361358843,34297907946.7585,48.6102583980129,4.21397202966124,0.619688911128846,34816479.2527791,28753186425.2046,1.86057632100821,28831612387.8396,22.9268841419709,48.4990513600946,2.00131622839817,2.03941626014646,9.59158683425703,3.09413337623899,1.29750822384732,2.96384611829901,,6.04488443534768,19.5484719498891,3.7458089953016,27.4817290567332,62.4333333333333,2.4,28746630293.9711,18795034529.156,24.8894920278632,40.8203246110598,31691354758.3458,27484465307.1896,29.7770996907059,45.001844576936,-4.18151996587627,1975.72282049384,30815809938.9611,21157234682.4442,6.11120488289035,43.7585675954837,9.98907682520658,9.98907682520658,-2.001316228398176
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,2022,,,,,,,0.157485885506815,,,,,,,3.36508336137956,,,13.6272413104511,7.57408111948219,,3.04344334698478,,,,,29.4333333333333,2.9,10093186510.6175,5623798014.70855,-0.731218043702015,63.8121468562925,5433021714.23864,3833815426.12232,5.89994858772025,34.3491898359076,29.4629570203849,5018.13074774587,5902096583.18404,4130797680.50546,4.36046380683767,37.3148215907803,18.2608987808466,18.2608987808466,
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2022,26.7575333361133,27095220405.9637,11.438594778304,32652714621.5024,27.546712029621,21.0810995481131,1.4442383878191,2827184982.49042,29392294678.4071,0.929090800035283,29815044117.9963,3.91348560144688,30.6980748270902,5.4175310653788,,1.96402822904204,,3.98001958945196,,8.27477490232654,1.25630750352703,23.8944764709285,8.1430304758572,21.8319163495175,86.6666666666667,2.9,29362895414.1741,26602271324.2822,18.5008764976854,42.4051961144394,27574429707.1191,22404232700.0875,8.11776622548564,39.822336420875,2.58285969356442,31254.905819096,46589251384.0116,46947107876.3935,5.56978933173345,67.2830902367432,6.28038513680281,6.28038513680281,-4.419260880022064
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2022,7.94965812564996,19948193945.8359,3.4005953500528,22893459233.138,56.4094560345235,7.20315364130351,0.236159857443863,420018431.189826,17210592597.5068,2.00738569217426,17856879508.924,38.6787524124209,36.6975764389788,2.2547265327193,9.44942105789947,8.59395086030025,12.9116655451909,10.4018143358795,10.3769222017428,5.23352856100843,1.33887207089704,37.7236653517784,6.24032664528556,17.734989563042,58.1,,17211097451.1321,17169162639.4813,4.99207739662157,24.2673603262295,20283240452.5601,19671964828.2307,18.034288144553,28.5990307151189,-4.33167038888939,7689.54605147147,37564669475.1766,34387612076.9856,3.72276856339305,52.9655573840158,3.00000062873427,3.00000062873427,-2.0185666752754368
Croatia,HRV,Europe & Central Asia,High income,2022,36.8745574228875,46768775840.8551,5.76699116390012,51187116912.3107,15.797246283306,24.5349553363667,-0.560478989182165,1839021677.36743,41906767263.6499,1.20339768310481,46046352117.803,7.53456989139697,66.0393441227975,5.51626974323097,,,,,,10.7805806758686,2.92421774016909,47.1295859589438,22.5716971616291,11.0145345804767,87.3666666666667,3.4,42370492108.8212,38021977377.4516,27.0110658880339,59.5120446927421,46917661961.8646,39819289281.1408,26.7839542715339,65.8988332819515,-6.38678858920942,35349.7762455898,42586550457.6336,37980157312.4527,9.60681718998329,59.815512353154,8.00995019463291,8.00995019463291,-6.076748732413128
Cuba,CUB,Latin America & Caribbean,Upper middle income,2022,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,7870305551.59126,-2.43193232883955,40.4896279061686,,8437135961.38375,-9.19233567790444,53.3711476828839,-12.8815197767153,19937.9526638486,,65435509171.7649,4.26329292217918,74.5950436981612,14.0926582899991,14.0926582899991,
Curacao,CUW,Latin America & Caribbean,High income,2022,76.6645238480516,2891122906.06145,3.30733638801469,3055891851.13966,12.0157053500339,49.2647875204271,0.599831353244533,32597943.0391061,2046375478.84358,1.25636675980236,2247926155.70392,5.05103694088179,66.1481441217815,5.71077944316966,,,,,,,,,,,,,,,,,,,,,,,2256539633.36807,,,73.3790874308202,4.99831163618482,4.99831163618482,-5.110948089925121
Cyprus,CYP,Europe & Central Asia,High income,2022,151.943740048593,31486214155.3505,26.8114364324223,58880273413.5227,15.848756913081,6.70135720410654,-17.3876141432774,4154152366.9457,32562719909.0652,27.4481318198801,56975812029.3317,18.1056905500948,10.4181492805035,0.17262361266281,,,,,,8.39548297993334,2.09745869839701,30.9868544519358,13.7441536161045,10.0178907545798,90.5666666666667,3.2,32674701776.7032,31860120927.7622,27.4878056711404,104.66609337928,31557519607.7605,30907640053.2594,29.9406311569603,101.087450366244,3.57864301303551,40151.3961974221,24086609015.7789,22762813662.5721,11.1871467211498,77.1560605407942,6.62059685744181,6.62059685744181,-17.56023775594024
Czechia,CZE,Europe & Central Asia,High income,2022,21.5378421909321,216041519948.524,5.18363661580073,245806835794.035,28.8837540986119,16.2931254757557,1.87936942184381,14646187159.0543,219418604313.24,2.58863818072387,233633490751.169,25.4658565999421,15.982919892963,3.02937517288668,,,,,,15.1001651468371,2.607749474033,25.5296959451459,8.93815323746525,7.24922503143323,89.1,3.6,218554266386.95,184107052132.862,5.14899737013197,72.4094281428088,216117395213.426,179375443865.663,5.94813441086541,71.6020659665878,0.807362176221072,39936.4245850904,180325855204.007,126710617269.579,2.87469370474362,59.7439357764226,8.67110087967065,8.67110087967065,-1.1500057510428734
