country_name,iso3_country_code,world_bank_region,world_bank_income_group,observation_year,trade_in_services_percent_of_gdp,imports_of_goods_and_services_bop_current_usd,insurance_and_financial_services_percent_of_service_imports_bop,imports_of_goods_services_and_primary_income_bop_current_usd,transport_services_percent_of_service_imports_bop,travel_services_percent_of_service_imports_bop,foreign_direct_investment_net_outflows_percent_of_gdp,portfolio_investment_net_bop_current_usd,exports_of_goods_and_services_bop_current_usd,insurance_and_financial_services_percent_of_service_exports_bop,exports_of_goods_services_and_primary_income_bop_current_usd,transport_services_percent_of_service_exports_bop,travel_services_percent_of_service_exports_bop,foreign_direct_investment_net_inflows_percent_of_gdp,short_term_debt_percent_of_exports_of_goods_services_and_primary_income,net_oda_received_percent_of_imports_of_goods_services_and_primary_income,total_debt_service_percent_of_exports_of_goods_services_and_primary_income,debt_service_ppg_and_imf_only_percent_of_exports_of_goods_services_and_primary_income,public_and_publicly_guaranteed_debt_service_percent_of_exports_of_goods_services_and_primary_income,inflation_consumer_prices_annual_percent,net_investment_in_nonfinancial_assets_percent_of_gdp,taxes_on_goods_and_services_percent_of_revenue,taxes_on_goods_and_services_percent_value_added_of_industry_and_services,goods_and_services_expense_percent_of_expense,statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,exports_of_goods_and_services_current_usd,exports_of_goods_and_services_constant_2015_usd,exports_of_goods_and_services_annual_percent_growth,exports_of_goods_and_services_percent_of_gdp,imports_of_goods_and_services_current_usd,imports_of_goods_and_services_constant_2015_usd,imports_of_goods_and_services_annual_percent_growth,imports_of_goods_and_services_percent_of_gdp,external_balance_on_goods_and_services_percent_of_gdp,services_value_added_per_worker_constant_2015_usd,services_value_added_current_usd,services_value_added_constant_2015_usd,services_value_added_annual_percent_growth,services_value_added_percent_of_gdp,inflation_gdp_deflator_annual_percent,inflation_gdp_deflator_linked_series_annual_percent,foreign_direct_investment_net_bop_percent_of_gdp
Uganda,UGA,Sub-Saharan Africa,Low income,2022,10.9116952702849,11078926537.9927,3.4828468921814,12146607824.4857,59.652400455173,7.67496973751455,0.0007980830839366,479456880.667262,6115750798.86733,3.16185979561612,6145412703.22111,9.78434773424946,58.1911729855057,6.48067616265599,28.0453948877449,17.7577367908123,16.8390921208204,11.1970022883648,12.7073389666846,7.1957888597581,5.43297751007772,42.7662290891359,9.77144879130795,30.6689807233702,65.7666666666667,,5477862277.79869,5180305118.55964,-19.6734197675491,12.0219954333331,10244593520.7124,9668205470.66122,-7.02990256020442,22.4833064937607,-10.4613110604276,3537.13057134445,18978936777.8568,19194690143.69,4.03790621898254,41.6521408721143,4.92228673099149,4.92228673099149,-6.479878079572087
Ukraine,UKR,Europe & Central Asia,Upper middle income,2022,27.3604118357035,83254000000.0,2.91665162617767,87918000000.0,8.9593184853626,71.3244052990651,0.0209890120352411,2026000000.0,57517000000.0,1.22156697556866,70666000000.0,23.059333253099,4.65760019256228,0.136428578229067,23.0187558373192,32.6425995849826,13.4199145151841,6.81222486570628,3.29190017363371,20.1836366617478,1.09562418378375,26.4768973552907,13.9473704370842,24.799427846643,54.0333333333333,2.6,57417372455.43,25809638139.2821,-42.0458910810254,35.4451153382041,84155821685.1726,59548006775.6487,-17.4170622880223,51.9513986525203,-16.5062833143161,,99975443924.8017,42199984462.7377,-21.6649789574746,61.7172292872421,34.9152851434932,34.9152851434932,-0.1154395661938259
United Arab Emirates,ARE,Middle East & North Africa,High income,2022,,,,,,,4.85589648044943,,,,,,,4.44591399207935,,,,,,5.29122604376849,0.267443919165301,14.4116155205809,0.572506050807472,33.6469192855201,79.5,4.0,521897345132.743,451594133243.544,8.4595729576229,102.051988974133,427991831177.672,430178789062.039,25.8928312385543,83.6896720086852,18.3623169654481,56997.3276471556,255322260040.844,243566898919.316,6.65820969469566,49.9258038185875,12.5978703860808,12.5978703860808,
United Kingdom,GBR,Europe & Central Asia,High income,2022,26.6588833653879,1118433504024.54,8.78178343177293,1498944350737.01,10.4093818815781,24.7914255443007,4.51477242355252,-50765287666.8803,1079652542343.15,24.9718330066396,1461699628033.53,6.83672781345168,12.8133795848896,2.91635435189931,,,,,,7.92204883147902,2.20705639669749,31.9620263428462,12.8264923349522,14.3966167993412,90.3,3.7,1083593172366.25,1000496801456.49,15.2137543857681,34.0619283837069,1117793765633.44,1005826644651.22,13.9142510776215,35.1369980576912,-1.07506967398426,86051.0796337428,2305881971531.7,2356369778982.28,5.98390553855172,72.4836484564399,5.67864204313082,5.44390476600624,1.5984180716532286
United States,USA,North America,High income,2022,6.54136646556089,3982178000000.0,16.8498266241782,5048449000000.0,22.233395174689,16.7293272681054,1.51864594633252,-438343000000.0,3058445000000.0,19.7717241164435,4243430000000.0,9.49640138336432,14.9577824628455,1.62816817042838,,,,,,8.00279982052121,1.02301169963998,1.91529058302312,,6.76566110789086,93.1333333333333,3.9,3017379000000.0,2442520527052.38,7.51271953205122,11.7844046293243,3976314000000.0,3542496137787.96,8.5930121307444,15.529535106212,-3.74513047688775,,,,,,7.12948085418195,7.1294808542103,-0.10952222409585978
Uruguay,URY,Latin America & Caribbean,High income,2022,17.1806494012609,19638981681.0431,5.59033505359725,27713660196.0982,33.3123611497063,16.50705696711,8.40244067590129,1845308527.58845,23554674720.0089,4.51625715976204,25064610508.4838,11.3117534383884,27.9529535878225,12.4804063396028,,,,,,9.10437983075437,,26.0392290852661,11.097004682564,10.8206259357786,87.6,3.1,23530155862.0646,15491546561.6369,11.2843613784066,33.3316130133263,19553991329.3027,16308899045.9534,14.2954131856983,27.6991820910559,5.63243092227044,31959.8690088752,45015917506.9551,37435402090.5276,5.553601521834,63.767241941677,5.14768051145199,5.14768051145199,-4.077965663701536
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2022,12.9315604670529,35643311664.5104,3.53612547660577,38950612729.8369,43.6998777852627,43.0689061904124,0.0045329069584263,-27334626.5454398,20965866718.848,2.95607029066233,25287269940.2205,34.5216560766464,33.2796435910548,2.94947448385164,24.8250056967014,4.06825651456288,29.926973896313,5.04657064739339,7.1418461014944,11.4466436998836,3.32135700889557,30.4235733855334,9.5160169454145,5.56737894255523,76.6333333333333,2.6,20962647200.8976,19543449809.9447,19.0264071989964,23.2670310407511,35654761539.6622,31671095970.0592,13.6257445968616,39.5742214971006,-16.3071904563495,7798.11189407548,37426280479.2254,51650773748.1772,9.06024110571767,41.5404801361493,14.4626563513084,14.4626563513084,-2.9449415768932194
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2022,29.1996083407583,579346634.981212,4.69270099336358,608340594.113723,34.2525660520043,50.4945635261368,0.141216298502945,186290.530016156,152086796.303769,1.34903072806736,361742765.078266,30.8871229596322,49.7580889390087,1.01371235156553,8.78220743215874,20.5474917718775,6.12229187091228,5.91966169533948,5.10060114015216,6.67930581887121,5.30915755451841,38.9977914046569,18.100494519904,29.3000909700001,59.0666666666667,,99441790.086764,151966711.791096,103.438848920863,9.42548191484117,571554063.482734,538806235.640017,13.5878183005317,54.1741302525842,-44.748648337743,11244.2465829198,623004418.653595,532302633.235423,7.84035373516407,59.0507962071289,11.2268035656893,11.2268035656893,-0.8724960530625874
"Venezuela, RB",VEN,Latin America & Caribbean,Not classified,2022,,,,,,,2.52771341214204,,,,,,,2.63893280227629,,,,,,,,,,,56.2333333333333,2.5,14552961818.7141,11847685628.3341,31.4923428637981,16.349207455802,10280202848.898,4919532437.47642,10.7400016303424,11.5490696092002,4.80013784660185,,,,,,211.018233802245,211.018233802245,
Viet Nam,VNM,East Asia & Pacific,Lower middle income,2022,9.90578605388,369746000000.0,,391795000000.0,,,0.646760393311564,-1512000000.0,385241000000.0,,387562000000.0,,,4.32947308910883,9.84463072181999,0.0127712475593104,6.76588446873016,1.14182103681475,1.13643161158731,3.15650749963129,,,,,69.4333333333333,3.2,386241068014.827,336152101057.911,3.89898321799539,93.420129043511,370998835148.792,317885534547.006,1.34085420299783,89.7334901043249,3.68663893918612,7777.92478507197,170073351786.032,155023397172.304,10.6634063952618,41.1356424431376,4.4428330495189,4.4428330495189,-3.6827126957972656
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,4549000000.0,2674478914.20262,-18.9516129032258,97.3672945205479,5058000000.0,2786379400.94588,-9.41970310391363,108.26198630137,-10.8946917808219,,,,,,5.03826726070469,5.03826726070469,
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,2022,15.7698999474452,12257482022.8142,2.38616798255265,12404087392.4089,16.9257671043695,69.5879803192192,-0.414284151533215,172669130.80655,3533292713.73163,0.0127606182969826,8206258411.24022,1.23660033847177,73.4457118849406,1.62179695015304,,18.0449217303801,,,,3.74122391852077,,,,,91.5,,3533400000.0,2903200000.0,5.94073857830975,18.4362526414651,12258000000.0,9885600000.0,19.7325710963616,63.9586757454802,-45.522423104015,13831.4859791883,11179400000.0,9275400000.0,1.61703805955433,58.3308549216039,1.68265652739991,1.68265652739991,-2.0360811016862503
"Yemen, Rep.",YEM,Middle East & North Africa,Low income,2022,,,,,,,,,,,,,,,,,,,,,,,,,28.0,2.6,,,,,,,,,,,,,,,,,
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,2022,9.68287439865228,10021919595.3749,10.5607973012437,11662258767.1648,48.0066879280767,26.8087928739929,-0.866698984611388,150755699.673057,12443698684.1668,0.755511179353627,12470403739.7751,7.3297521888073,88.241140686376,-0.223286755156161,21.8467362007729,15.6375885780936,11.7472202365632,3.70684870791791,3.50838969555198,10.9932039209136,,,,,61.1333333333333,,11722089926.1135,,,40.1939977114306,8487628171.9824,,,29.1033177078897,11.0906800035408,6962.67577242444,16195980361.7916,15464239758.8924,12.0446280336699,55.5345677860761,6.14031838965083,6.14031838965083,-0.6434122294552217
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,2022,4.63732454523646,9568573330.17369,8.66631340289513,10199161314.536,35.7340243138014,15.0416994223236,0.143040941498346,93700000.0,7453497131.98803,,7460197070.44745,34.9742394058237,58.1482437832556,0.826254039449821,53.2846863985267,7.72683640803343,6.08424442264818,0.71792662499277,0.478025296962578,104.705170628667,,,,,67.0333333333333,2.3,9659224063.82763,3663496226.15709,43.4313183050343,23.6992196266447,12784886009.8774,4848915343.15198,54.0246142261616,31.3681326209589,-7.66891299431423,6001.98041932527,11681384888.0183,11348232273.8174,6.62562472402411,28.6606568162383,274.458090484399,274.458090484399,-0.8262540394498213
Puerto Rico,PRI,Latin America & Caribbean,High income,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,SOM,Sub-Saharan Africa,Low income,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
