"","rgdpe","rgdpo","pop","emp","avh","hc","ccon","cda","cgdpe","cgdpo","cn","ck","ctfp","cwtfp","rgdpna","rconna","rdana","rnna","rkna","rtfpna","rwtfpna","labsh","irr","delta","xr","pl_con","pl_da","pl_gdpo","i_cig","i_xm","i_xr","i_outlier","i_irr","csh_c","csh_i","csh_g","csh_x","csh_m","csh_r","pl_c","pl_i","pl_g","pl_x","pl_m","pl_n","pl_k"
"Turkmenistan",173985.703125,170585.671875,7.230193,3.86889028549194,2178.29,NA,75390.2890625,121479.609375,174678.734375,172538.6875,926123.5,NA,NA,NA,170023.1875,75316.25,120771.1796875,925750.3125,NA,NA,NA,NA,NA,0.0476058460772038,3.5,0.149832367897034,0.323696285486221,0.327711194753647,"Extrapolated","Extrapolated","Market-based","Regular",NA,0.0598851107060909,0.267124533653259,0.377062052488327,0.153258293867111,-0.0767061188817024,0.219376116991043,0.599794861770914,0.608093005177501,0.0783691926340995,0.458692848682404,0.552559614181519,0.276462405920029,NA
"Trinidad and Tobago",41761.54296875,42884.60546875,1.495921,0.565725982189179,1616.92,3.09995436668396,31741.17578125,32253.73828125,41846.73046875,43648.7109375,245912.90625,0.00217215903103352,0.69628632068634,0.482170522212982,42818.4296875,31696.083984375,28256.6640625,243514.75,0.944153070449829,1.03912711143494,0.796481192111969,0.338196009397507,0.0135126439854503,0.0349428802728653,6.75412896099475,0.653536260128021,0.68130362033844,0.65317690372467,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.580993711948395,0.0117428880184889,0.146202474832535,0.646465718746185,-0.385404825210571,-1.27602125372071e-16,0.657720333987733,2.40083766439156,0.636909210389298,0.591160416603088,0.603079915046692,1.52265012264252,0.788085162639618
"Tunisia",143204.109375,155510.9375,12.119334,3.86805105209351,2286.46,2.79117250442505,146401.578125,163572.265625,143663.515625,154741.890625,519171.65625,0.00435573607683182,0.621605396270752,0.615773022174835,156123.375,146157.453125,163027.1875,516163.59375,1.00075209140778,1.02768123149872,1.01528680324554,0.560900449752808,0.108011960983276,0.0442113056778908,3.1036,0.296251803636551,0.310436725616455,0.288211792707443,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.753288447856903,0.110963433980942,0.192813292145729,0.18196152150631,-0.297443926334381,0.0584172643721104,0.29365678151753,0.43138088133227,0.306390110872241,0.632200002670288,0.577630579471588,0.24406173825264,0.407900512218475
"Türkiye",2687591.25,2927292.5,87.058473,30.7261581420898,1759.3,2.59900760650635,2126358,2809079,2700993.5,2932808.75,9351301,0.0883537903428078,1.06359887123108,0.954689562320709,2762891.75,2147003.25,2790106,9321762,1.05766558647156,0.985584616661072,1.03707349300385,0.350151389837265,0.168824449181557,0.0558045655488968,16.5488604173067,0.294195532798767,0.335846304893494,0.30930033326149,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.544472515583038,0.232787430286407,0.180551886558533,0.138588964939117,-0.169977620244026,0.0735768228769302,0.325554605223261,0.465569027074763,0.199629113708014,0.618683397769928,0.71113646030426,0.281951576471329,0.605318963527679
"Taiwan",1489234.75,1425111.375,23.319977,11.7281808853149,2033.87,3.46390080451965,914720.75,1313208.375,1496431.625,1437815.5,6210268,0.072671689093113,0.841585040092468,0.720331311225891,1422647.75,913246.4375,1305722.75,6193902,1.05633103847504,0.989976227283478,1.00588500499725,0.650920629501343,0.0553209595382214,0.0612089335918427,29.81,0.49578794836998,0.508418321609497,0.529145240783691,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.46120148897171,0.277147978544235,0.174986347556114,0.594401061534882,-0.50773686170578,0,0.524175416213006,0.537411001765311,0.420968728044719,0.622607111930847,0.601275384426117,0.376100987195969,0.331566154956818
"U.R. of Tanzania: Mainland",211766.796875,218721.71875,62.948832,24.3639621734619,2123.95,1.75561130046844,166033.390625,228110.15625,212989.859375,218863.859375,778389,0.00715242559090257,0.341540485620499,0.33359307050705,210230.015625,165778.671875,229114,774537.6875,1.09690380096436,0.968223452568054,0.978108286857605,0.594452738761902,0.0732914358377457,0.0394537672400475,2315.29074731183,0.301446825265884,0.346397161483765,0.337100386619568,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.683761775493622,0.283631831407547,0.0748531594872475,0.0432122088968754,-0.12717230618,0.0417132899165154,0.298497446689296,0.466623463940065,0.328388662017723,0.556780695915222,0.487938612699509,0.304123818874359,0.379537403583527
"Uganda",130105.0234375,138574.609375,47.312719,18.3672485351563,2124.69,2.62941098213196,111598.609375,139431.5,130714.2890625,138369.21875,386262.28125,NA,NA,NA,133590.90625,111415.015625,138593.296875,384286.0625,NA,NA,NA,NA,NA,0.0389827042818069,3689.81738566862,0.353800356388092,0.362603634595871,0.342543482780457,"Extrapolated","Extrapolated","Market-based","Regular",NA,0.68732613325119,0.201149433851242,0.119201563298702,0.0460599362850189,-0.121523670852184,0.0677866265177727,0.365572554425007,0.397901119178348,0.285920956248535,0.510439813137054,0.572518885135651,0.262152969837189,NA
"Ukraine",554824.8125,575146.125,41.048766,15.7241058349609,2044.97,3.31589460372925,588665,648196,556361.4375,572931.125,10177476,0.0659893378615379,0.293924808502197,0.311633586883545,504886.71875,563086.25,618909.125,10117180,0.984071791172028,0.72359561920166,0.83842259645462,0.558368802070618,0.0128130847588182,0.0255376938730478,32.3423016,0.287269860506058,0.291158765554428,0.282738208770752,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.586138308048248,0.103906080126762,0.441323816776276,0.0872530192136765,-0.190798565745354,-0.0278226193040609,0.311404826871822,0.329613965193968,0.255215312349074,0.918233036994934,0.623283803462982,0.172044828534126,0.0983571857213974
"Uruguay",94788.9609375,91652.4921875,3.390913,1.56223666667938,1523.15,3.00021004676819,73096.4296875,90210.875,95145.4296875,91425.2578125,387040.84375,0.00335643580183387,0.79316109418869,0.733429610729218,92900.1171875,73043.5,89900.6484375,384880.09375,1.03164458274841,0.993746995925903,0.996463119983673,0.518926978111267,0.116819068789482,0.0361305065453053,41.1710833333333,0.728460192680359,0.73738443851471,0.767389297485352,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.616674780845642,0.187196061015129,0.182846382260323,0.184909090399742,-0.244309067726135,0.0726827383041382,0.743315367424329,0.775499867820036,0.678359139867665,0.600938200950623,0.520224452018738,0.550225138664246,0.912321090698242
"United States",24861132,24282706,341.534046,165.578491210938,1789.59,3.81364345550537,20081044,25902724,24981534,24274456,79490376,1,1,1,24276130,20029218,25753122,79490152,1.02548205852509,0.984038174152374,0.987051606178284,0.576183140277863,0.0777243301272392,0.0470067113637924,1,1.05858039855957,1.04104495048523,1.07136905193329,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.71001672744751,0.239827409386635,0.117233231663704,0.121806457638741,-0.202835038304329,0.0139511870220304,1.02643588260786,0.980558872610411,1.25326232502135,0.66078120470047,0.665273785591126,1.12868523597717,1
"Uzbekistan",308076.84375,331967.0625,34.938955,13.6902170181274,2094.72,NA,267566.625,356478.375,309771.6875,332679.34375,1924544.25,0.0211262833327055,NA,NA,320926,269547.375,355174.40625,1916009,1.09554731845856,NA,NA,0.379453539848328,0.170520097017288,0.0551776438951492,11050.145422363,0.235317662358284,0.261937499046326,0.243900999426842,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.537128210067749,0.267259567975998,0.267149686813355,0.110078684985638,-0.154506772756577,-0.0271093063056469,0.27684084998819,0.342045991048835,0.151831584973025,0.523899972438812,0.568473935127258,0.0921840891242027,0.216233924031258
"St. Vincent and the Grenadines",1649.76000976563,1544.71105957031,0.102046,0.0376572981476784,NA,NA,1451.45104980469,2073.841796875,1660.74682617188,1519.19799804688,12939.2265625,NA,NA,NA,1534.13269042969,1449.82080078125,2059.83544921875,12868.314453125,NA,NA,NA,NA,NA,0.0253322906792164,2.7,0.604394257068634,0.595628976821899,0.65112578868866,"Extrapolated","Extrapolated","Market-based","Regular",NA,0.672118723392487,0.409683734178543,0.283287435770035,0.355069220066071,-0.727539837360382,0.00738076539710164,0.678045150207836,0.575187904419707,0.429652492433186,0.502020537853241,0.474227219820023,0.397622287273407,NA
"Venezuela (Bolivarian Republic of)",3177.23803710938,4685.22021484375,28.213017,14.5905227661133,1777.28,3.04006600379944,3256.48974609375,3503.08178710938,3185.50219726563,4828.12451171875,123627.1953125,0.000698245305102319,0.0597953423857689,0.0406577475368977,5100.099609375,3215.0986328125,3485.1201171875,123220.6171875,0.941933870315552,1.13085627555847,0.83177262544632,0.0843637511134148,0.00999999977648258,0.0339774377644062,2.06971532605158,40.6084938049316,40.6133804321289,26.7959156036377,"Extrapolated","Extrapolated","Estimated","Outlier","Lower bound",0.546536862850189,0.051074106246233,0.127946525812149,0.651012063026428,-0.278498291969299,-0.0980712622404099,46.1220007942003,40.6779068786698,17.05697983263,0.228060469031334,0.689374387264252,24.2571964263916,15.3920030593872
"British Virgin Islands",1495.00500488281,1549.63684082031,0.038319,0.0199791640043259,NA,NA,642.848449707031,976.947143554688,1501.16430664063,1601.07922363281,5308.0078125,5.01455033372622e-05,NA,NA,1549.64318847656,641.896057128906,970.795288085938,5288.41015625,1.03197586536407,NA,NA,0.380558252334595,0.1458410769701,0.0422064661979675,1,0.988040864467621,0.980061531066895,0.918901026248932,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.337439119815826,0.208670929074287,0.0640703141689301,1.85683953762054,-1.4671483039856,0.000128462284919806,0.947592302417354,0.96470822202642,1.20107139671772,0.553851008415222,0.482326030731201,0.921119809150696,1.64885783195496
"Viet Nam",1280271.375,1299342.625,99.680655,55.0484428405762,2139.73,2.69647669792175,873646,1239499.5,1287282.875,1306476.125,4513063.5,NA,NA,NA,1317248.125,873933.5,1233242.875,4481392.5,NA,NA,NA,NA,NA,0.0529437996447086,23271.2125,0.299272537231445,0.31875205039978,0.314069300889969,"Extrapolated","Extrapolated","Market-based","Regular",NA,0.544477939605713,0.280030757188797,0.124226227402687,0.466385334730148,-0.437812954187393,0.022692684084177,0.316019104795531,0.36526841151393,0.225873162062311,0.587082445621491,0.615047156810761,0.220227003097534,NA
"Yemen",39834.13671875,36114.22265625,38.222876,7.42550897598267,1415.57,2.05055284500122,40392.08984375,52942.28515625,40067.09765625,35046.125,574931.75,NA,NA,NA,35831.5078125,39351.18359375,51589.75,572627.875,NA,NA,NA,NA,NA,0.0277287121862173,1115.00238710662,0.316753387451172,0.27354109287262,0.312730729579926,"Extrapolated","Extrapolated","Market-based","Regular",NA,0.66418993473053,0.35810512304306,0.488350957632065,0.0026445637922734,-0.543997943401337,0.0307073798030615,0.494018451726611,0.134464810612348,0.0756610826981296,0.203377693891525,0.203372195363045,0.108321763575077,NA
"South Africa",823578.375,796945.9375,62.37841,17.7034358978272,2184.45,2.85314345359802,675348.875,810185.375,826451.5625,798359.5625,3008200.25,0.0304365884512663,0.581663310527802,0.553173780441284,795299.875,674150.125,806022.6875,2990285,1.01025140285492,0.967403829097748,0.986090958118439,0.545401811599731,0.124729566276073,0.0510337650775909,16.3558534845,0.49599352478981,0.490374565124512,0.507629454135895,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.671819746494293,0.168891921639442,0.174100995063782,0.225983679294586,-0.244385570287704,0.00358928088098764,0.479854961539941,0.462231124095915,0.558268938154729,0.635930895805359,0.554619014263153,0.315951287746429,0.5491743683815
"Zambia",69144.015625,66286.5625,20.152938,5.55027580261231,2195.71,2.75889253616333,39793.52734375,53437.1640625,69417.328125,66780.1328125,270121.96875,0.00333492481149733,0.304050594568253,0.228005886077881,64753.88671875,40051.80859375,52587.18359375,269019.40625,1.02393579483032,1.0375542640686,0.976424217224121,0.299980849027634,0.0994672328233719,0.0379229336977005,16.9375943252989,0.365907371044159,0.419731855392456,0.436307400465012,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.408739238977432,0.204306855797768,0.187149465084076,0.288812130689621,-0.233156904578209,0.144149139523506,0.380409502456806,0.576718331634032,0.334234380596477,0.529168844223023,0.494447946548462,0.398521155118942,0.554877161979675
"Zimbabwe",50148.52734375,48054.23828125,16.069056,5.34445476531982,2172.04,2.79529237747192,46625.74609375,54859.515625,50321.87109375,47734.9609375,114640.703125,0.00111087155528367,0.327278524637222,0.352482080459595,47147.55078125,45148.08984375,53230.90234375,114134.8828125,1.02568960189819,0.997025847434998,1.03937077522278,0.533381104469299,0.263870507478714,0.0597875453531742,1,0.533126294612885,0.524992287158966,0.553443312644959,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.648723006248474,0.172489255666733,0.32804000377655,0.220504388213158,-0.391468226909637,0.0217115227133036,0.660731224666298,0.478931354548362,0.280778269200148,0.487665444612503,0.432867258787155,0.301817089319229,1.00679576396942
