"","rgdpe","rgdpo","pop","emp","avh","hc","ccon","cda","cgdpe","cgdpo","cn","ck","ctfp","cwtfp","rgdpna","rconna","rdana","rnna","rkna","rtfpna","rwtfpna","labsh","irr","delta","xr","pl_con","pl_da","pl_gdpo","i_cig","i_xm","i_xr","i_outlier","i_irr","csh_c","csh_i","csh_g","csh_x","csh_m","csh_r","pl_c","pl_i","pl_g","pl_x","pl_m","pl_n","pl_k"
"Singapore",706659.4375,620703.4375,5.649885,3.96191334724426,2311.42,3.2801206111908,247649.203125,426099.3125,709833.125,621422.4375,2534689,0.0266954302787781,0.900421738624573,0.578594326972961,603809.6875,248138.21875,424305.25,2523388,1.0348984003067,1.00961422920227,1.01581907272339,0.439467787742615,0.196877017617226,0.0587096810340881,1.37866666666667,0.759019613265991,0.702242016792297,0.802151083946228,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.286665201187134,0.287163943052292,0.111854687333107,1.2787446975708,-1.22834444046021,0.263915866613388,0.790852208496842,0.623447257151107,0.677437802191291,0.684496462345123,0.623897969722748,0.436275482177734,0.949598252773285
"Sierra Leone",22379.201171875,23074.6640625,8.276807,3.00905323028564,NA,1.70762860774994,23122.615234375,25028.74609375,22448.015625,23018.150390625,33278.09765625,0.000382202822947875,0.474250912666321,0.483260303735733,22986.396484375,23074.359375,24979.29296875,33127.14453125,1.05544543266296,0.994781911373138,1.01140737533569,0.596124589443207,0.13945896923542,0.0590682215988636,14.0476497942157,0.297465771436691,0.317138820886612,0.309283673763275,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.935625672340393,0.0828098878264427,0.0689126700162888,0.100059315562248,-0.187407538294792,-9.99928317924059e-09,0.2972748557815,0.555785911931469,0.300057700780358,0.518829941749573,0.466739237308502,0.343090504407883,0.682517886161804
"El Salvador",65623.9296875,69184.5234375,6.280319,2.9553759098053,NA,2.36482119560242,65247.37890625,82364.515625,65984.1875,68509.3203125,345363.4375,0.00311533082276583,0.464270830154419,0.523077607154846,69135,65257.63671875,82261.75,344066.0625,1.0480535030365,0.984729170799255,0.966469049453735,0.521345615386963,0.134635046124458,0.0411958023905754,1,0.498193323612213,0.484796732664108,0.466928005218506,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.748084425926209,0.249851182103157,0.204302445054054,0.24926184117794,-0.451499879360199,-3.12607197072712e-11,0.522200842648054,0.433731351416739,0.410286107685768,0.593163371086121,0.584199666976929,0.250891923904419,0.44591349363327
"Somalia",23301.484375,24600.80078125,17.801897,2.58262395858765,NA,NA,32086.7265625,36387.08984375,23415.798828125,23973.9296875,NA,NA,NA,NA,24666.8984375,32025.875,36511.6171875,NA,NA,NA,NA,NA,NA,NA,24300,0.418927103281021,0.435731440782547,0.425587326288223,"Extrapolated","Extrapolated","Market-based","Regular",NA,1.258131980896,0.179376676678658,0.0802688449621201,0.121012583374977,-0.63879007101059,0,0.420490861660441,0.561115304501526,0.394416932137227,0.621822953224182,0.48686495423317,NA,NA
"Serbia",145443.75,143110.484375,6.791213,2.94294452667236,2047.07,3.49058556556702,126247.859375,162169.484375,146138.09375,141718.796875,699329.5625,0.00775926094502211,0.472633421421051,0.506839215755463,145288.78125,126543.890625,161870.75,696163.625,1.05612504482269,0.972540736198425,0.975982964038849,0.636854469776154,0.0533913001418114,0.0520991794764996,111.662183333333,0.425227582454681,0.434954434633255,0.448517888784409,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.630552470684052,0.253471165895462,0.260281085968018,0.376153349876404,-0.570737659931183,0.0502796024084091,0.485631057726656,0.469139677467613,0.278895190807152,0.568731546401978,0.500552415847778,0.308076024055481,0.269898653030396
"South Sudan",10337.765625,11079.0205078125,11.021177,3.31607604026794,NA,NA,9870.3916015625,10641.5966796875,10359.8935546875,11327.5498046875,NA,NA,NA,NA,10126.6396484375,9766.146484375,10530.82421875,NA,NA,NA,NA,NA,NA,NA,2281.94847261038,0.425501823425293,0.420653700828552,0.384719371795654,"Extrapolated","Extrapolated","Estimated","Regular",NA,0.592132866382599,0.0680822134017944,0.279228717088699,0.336628139019012,-0.0405395664274693,-0.235532373189926,0.566586051367587,0.358604237169764,0.126318335089587,0.248093158006668,0.0829421654343605,NA,NA
"Sao Tome and Principe",1251.36767578125,1420.12756347656,0.226305,0.0692378059029579,NA,NA,1266.3095703125,1630.140625,1257.84423828125,1409.26513671875,3945.44921875,4.5665743527934e-05,NA,NA,1431.10974121094,1264.56872558594,1659.884765625,3934.05078125,1.13605093955994,NA,NA,0.738317966461182,0.0293409563601017,0.0607122294604778,23.2904039548641,0.394812315702438,0.433174014091492,0.386630922555923,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.671239495277405,0.2581707239151,0.22732076048851,0.00990487076342106,-0.218934744596481,0.0522988997399807,0.449742463064822,0.566691508391143,0.232612926983077,0.711032569408417,0.647215604782105,0.373305171728134,0.28327339887619
"Suriname",11019.8271484375,10282.916015625,0.623164,0.220163926482201,NA,NA,5825.001953125,10120.1162109375,11091.021484375,10329.890625,56438.6640625,0.00094619404990226,NA,NA,10229.4296875,5795.55322265625,10020.9541015625,56685.296875,1.03905916213989,NA,NA,0.458059996366501,0.0335514955222607,0.0813048854470253,24.7091747565789,0.282669514417648,0.326479226350784,0.350535005331039,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.378208041191101,0.41579470038414,0.185689672827721,0.232395455241203,-0.258734852075577,0.0466469414532185,0.330761732215922,0.385893646526007,0.184716451308723,0.704869985580444,0.577711939811707,0.270904272794724,0.188161745667458
"Slovakia",193521.15625,173282.328125,5.473197,2.45054960250855,1610.06,3.8653712272644,157390.1875,205995.5625,194433.625,171771.859375,863525.1875,0.00832730531692505,0.655240833759308,0.736395180225372,175578.0625,157965.15625,205976.5,859444.5,1.01038312911987,0.974882125854492,0.987208902835846,0.567500948905945,0.0896096378564835,0.0487095564603806,0.949623753156941,0.609580993652344,0.596237540245056,0.6748988032341,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.628278374671936,0.282964736223221,0.287996143102646,1.02627873420715,-1.23146402835846,0.00594594608992338,0.661075702675248,0.55302961643932,0.497242696043456,0.601848423480988,0.537417113780975,0.423451453447342,0.546266436576843
"Slovenia",97395.0625,87096.890625,2.115228,1.07777678966522,1610.24,3.63305330276489,68655.1796875,96174.2578125,97883.0234375,86384.6796875,575649.8125,0.00560101494193077,0.661682546138763,0.690360546112061,87588.8828125,68718.0234375,95674.5390625,572421.9375,1.02234041690826,0.989465951919556,1.00685822963715,0.656928718090057,0.0473480112850666,0.0449203252792358,0.949623753156941,0.64449268579483,0.612237930297852,0.693730711936951,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.554012835025787,0.31856432557106,0.240748211741447,0.937329769134522,-1.15426516532898,0.103609964251518,0.681514734349296,0.531768088131561,0.559297088511389,0.574712157249451,0.518478393554688,0.392323583364487,0.333026230335236
