"country","gdp_percap","gdp_growth","agr_gdp","ind_gdp","srv_gdp","trade_gdp","invest_gdp","credit_gdp","inflation"
"Luxembourg",104147.1739928,0.35861253942069,0.20948876007365,9.65986766346083,81.1809383770858,351.267921153192,15.8427821306684,85.1436082593373,2.05113269954859
"Ireland",94474.9879707069,2.59946721553708,1.02114448018423,33.6325795420542,60.5635643631863,246.169874857401,18.2483791335529,23.7845375555383,2.11344999577317
"Norway",79667.5272314776,2.09723059960317,2.07595111116756,36.9541773996335,51.8077568320554,81.3635091827243,24.1355030571877,128.868380631512,3.14530134431073
"Denmark",60772.8624276041,3.47783593140312,0.927722262099888,24.1417253330521,63.5495635161649,131.765030975207,23.2065036119904,144.093102209921,1.37220049768918
"Iceland",59307.1777759714,-0.970676468918384,3.98201137564491,20.0940830059377,64.8920846344191,85.9671932681303,26.1116569910227,90.9015313312732,5.85683849970066
"Sweden",54209.9474264877,0.820071806703865,1.4222920532684,21.6861135924505,66.4283744913472,105.883091480464,25.3566898119593,125.521881964807,2.83581658224034
"Netherlands",51178.5256968147,1.08100584845663,1.72968455863421,17.5234908357454,70.4906816195514,153.83065216636,19.6654844408571,82.3320940898509,3.34754304219953
"United Kingdom",47960.9105761942,1.1264226705118,0.638070794582258,17.1246523065486,72.4462431770253,62.8401605267118,19.1197244388535,112.661832187589,3.2715729463592
"Austria",45958.8250071261,-0.659089573171372,1.21663375792448,24.5834201904085,63.9706809373681,108.825777834405,23.5771489456415,81.7652651021229,2.93791574279383
"Finland",45254.0358658917,0.416171964862073,2.46735975474973,22.7842138257665,62.2144997698967,83.4601015353507,22.2812478484434,92.0344393994847,1.56568906231616
"Belgium",45045.6601021398,1.07045413019414,0.791636827597192,18.7357058631394,70.9861225353144,158.931826338067,24.4957130083941,68.0983723586982,3.14349136500041
"France",39683.3953489029,1.19046798275883,1.29979455802577,17.2101481972036,70.9141844211851,68.1081875443744,21.5139121721262,107.58266062477,1.99904942291463
"Italy",34495.2545799636,0.692676948440536,1.99727734716288,22.3316588315233,65.0483624576143,62.8237685119526,22.5774286224244,60.3701258499539,0.982373023061417
"Cyprus",32617.216796875,3.94077381708404,1.15512812146527,11.1357928688814,76.4769046707826,190.40287092076,20.6775296375465,56.6577631532363,1.80023018624815
"Spain",29245.2192451729,3.45525405630191,2.75300596488807,19.4537517327028,68.9025484059134,69.9502612382631,21.1732200987249,74.2192017963659,2.77417826534772
"Slovenia",26134.627203987,1.73139722479493,1.53730419088458,29.0665685208903,57.9394382652417,155.657928684474,21.5339676972715,35.4165073993057,1.96562656432512
"Portugal",22647.3791895579,2.13967177177636,2.02167120867754,18.6896910617551,66.2769355054703,89.696408854026,20.3671429506228,77.2131206543744,2.41613187791884
"Greece",21494.6856060599,2.0865743380603,3.765512541308,14.9985220031197,68.0104871945665,89.7765279446168,18.2925535607175,48.5410004453358,2.74149045788606
