cluster,n_factors,feature,factor,loading
1,6,insurance_and_financial_services_percent_of_service_exports_bop,4,-0.09378616112984388
1,6,insurance_and_financial_services_percent_of_service_exports_bop,5,0.027090037098880717
1,6,insurance_and_financial_services_percent_of_service_exports_bop,6,0.06453283844530386
1,6,exports_of_goods_services_and_primary_income_bop_current_usd,1,-0.0020328189812484
1,6,exports_of_goods_services_and_primary_income_bop_current_usd,2,0.036701459333521175
1,6,exports_of_goods_services_and_primary_income_bop_current_usd,3,0.010939575316205343
1,6,exports_of_goods_services_and_primary_income_bop_current_usd,4,0.0039855011461759
1,6,exports_of_goods_services_and_primary_income_bop_current_usd,5,-0.0036481516450619965
1,6,exports_of_goods_services_and_primary_income_bop_current_usd,6,0.006707345956396061
1,6,transport_services_percent_of_service_exports_bop,1,0.13616566346279557
1,6,transport_services_percent_of_service_exports_bop,2,0.18648122350226431
1,6,transport_services_percent_of_service_exports_bop,3,0.06762482822213303
1,6,transport_services_percent_of_service_exports_bop,4,0.07309997114233571
1,6,transport_services_percent_of_service_exports_bop,5,0.23976545078989894
1,6,transport_services_percent_of_service_exports_bop,6,-0.23525800470208702
1,6,travel_services_percent_of_service_exports_bop,1,0.17539143802972468
1,6,travel_services_percent_of_service_exports_bop,2,-0.15252352327870233
1,6,travel_services_percent_of_service_exports_bop,3,-0.22799930075366368
1,6,travel_services_percent_of_service_exports_bop,4,0.09707595266481321
1,6,travel_services_percent_of_service_exports_bop,5,-0.006303152082618791
1,6,travel_services_percent_of_service_exports_bop,6,-0.2886840194052134
1,6,foreign_direct_investment_net_inflows_bop_current_usd,1,8.934378781954903e-05
1,6,foreign_direct_investment_net_inflows_bop_current_usd,2,0.0024464966294795547
1,6,foreign_direct_investment_net_inflows_bop_current_usd,3,0.011126565968016736
1,6,foreign_direct_investment_net_inflows_bop_current_usd,4,0.02115018444753758
1,6,foreign_direct_investment_net_inflows_bop_current_usd,5,0.010508146110812916
1,6,foreign_direct_investment_net_inflows_bop_current_usd,6,0.0020896320277428754
1,6,foreign_direct_investment_net_inflows_percent_of_gdp,1,-0.06654573488573791
1,6,foreign_direct_investment_net_inflows_percent_of_gdp,2,-0.09722434693440632
1,6,foreign_direct_investment_net_inflows_percent_of_gdp,3,-0.0049564146917086705
1,6,foreign_direct_investment_net_inflows_percent_of_gdp,4,0.16448154479193686
1,6,foreign_direct_investment_net_inflows_percent_of_gdp,5,0.06518397014248176
1,6,foreign_direct_investment_net_inflows_percent_of_gdp,6,-0.04275545003449779
1,6,short_term_debt_percent_of_exports_of_goods_services_and_primary_income,1,0.6491080184910242
1,6,short_term_debt_percent_of_exports_of_goods_services_and_primary_income,2,0.2781762587628379
1,6,short_term_debt_percent_of_exports_of_goods_services_and_primary_income,3,0.16913349208365014
1,6,short_term_debt_percent_of_exports_of_goods_services_and_primary_income,4,0.0384663114195847
1,6,short_term_debt_percent_of_exports_of_goods_services_and_primary_income,5,0.0008443381400869165
1,6,short_term_debt_percent_of_exports_of_goods_services_and_primary_income,6,-0.141100207049803
1,6,net_oda_received_percent_of_imports_of_goods_services_and_primary_income,1,-0.14405940379770954
1,6,net_oda_received_percent_of_imports_of_goods_services_and_primary_income,2,-0.6005433138759062
