country_name,iso3_country_code,world_bank_region,world_bank_income_group,observation_year,cluster,n_factors,exact_log_likelihood,regularized_log_likelihood
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,2022,3,9,-6.456733946037659,-6.55130251276681
Mexico,MEX,Latin America & Caribbean,Upper middle income,2022,3,9,-29.489053008346175,-29.609293018604042
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,2022,3,9,6.48966325436632,6.385029477534381
Moldova,MDA,Europe & Central Asia,Upper middle income,2022,3,9,-2.024340009532416,-2.1273202547527674
Monaco,MCO,Europe & Central Asia,High income,2022,3,9,10.502089532981707,10.400242162451804
Mongolia,MNG,East Asia & Pacific,Upper middle income,2022,3,9,-16.763686397485507,-16.88425118076529
Montenegro,MNE,Europe & Central Asia,Upper middle income,2022,3,9,2.8961734006759396,2.784128220483929
Morocco,MAR,Middle East & North Africa,Lower middle income,2022,3,9,7.405086278199555,7.298917088962905
Namibia,NAM,Sub-Saharan Africa,Upper middle income,2022,3,9,7.769089208965674,7.666172974598879
Nauru,NRU,East Asia & Pacific,High income,2022,3,9,-5.364115165017147,-5.463209606460218
New Caledonia,NCL,East Asia & Pacific,High income,2022,3,9,9.410796439345027,9.308144944194689
North Macedonia,MKD,Europe & Central Asia,Upper middle income,2022,3,9,4.178829458696988,4.079165751251164
Northern Mariana Islands,MNP,East Asia & Pacific,High income,2022,3,9,-1.9407353449748044,-2.0418788999497934
Pakistan,PAK,South Asia,Lower middle income,2022,3,9,-23.719535763907977,-23.840333112951377
Palau,PLW,East Asia & Pacific,High income,2022,3,9,-19.2133689369926,-19.31427168387266
Paraguay,PRY,Latin America & Caribbean,Upper middle income,2022,3,9,-34.427173115140384,-34.543891114787115
Peru,PER,Latin America & Caribbean,Upper middle income,2022,3,9,1.2986695677699416,1.1967916978610713
Philippines,PHL,East Asia & Pacific,Lower middle income,2022,3,9,-19.747165331016546,-19.85653309021164
Russian Federation,RUS,Europe & Central Asia,High income,2022,3,9,-72.50118566980163,-72.62154764634178
Samoa,WSM,East Asia & Pacific,Lower middle income,2022,3,9,-12.037389128944277,-12.153005724668489
San Marino,SMR,Europe & Central Asia,High income,2022,3,9,-35.45411132153769,-35.55376317655902
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,2022,3,9,0.19731886096520945,0.09014996363065642
Serbia,SRB,Europe & Central Asia,Upper middle income,2022,3,9,-1.3039200403806248,-1.4079948214949418
