model,cluster,n_factors,criterion_scope,warning,n_observations,n_parameters,exact_total_log_likelihood,exact_mean_log_likelihood,regularized_total_log_likelihood,regularized_mean_log_likelihood,regularized_aic,regularized_bic,likelihood_eigenvalue_floor,exact_likelihood_finite,minimum_uniqueness,uniquenesses_below_floor
adaptive_cluster,1,5,conditional_on_fixed_clusters,,46,291,-1408.239034960177,-30.61389206435167,-1408.239034960182,-30.61389206435178,3398.478069920364,3930.6127162986904,1e-06,True,3.5032450361571765e-05,0.0
adaptive_cluster,2,6,conditional_on_fixed_clusters,regularized likelihood; near-singular uniquenesses,53,329,-2526.9685570156703,-47.67865201916359,-379.1546535745712,-7.1538613881994575,1416.3093071491426,2064.5353467077907,1e-06,True,1e-12,3.0
adaptive_cluster,3,7,conditional_on_fixed_clusters,,118,366,-3661.3284965881917,-31.028207598205015,-3661.3284965907096,-31.028207598226352,8054.656993181419,9068.727565735853,1e-06,True,4.1295004133967694e-06,0.0
adaptive_aggregate,all,5/6/7,conditional_on_fixed_clusters,1 cluster models required likelihood regularization,217,986,-7596.536088564038,-35.007078749143034,-5448.722185125463,-25.10931882546296,12869.444370250925,15063.875628742335,1e-06,True,,
global_pa,all,8,global,,217,402,-7640.34623126477,-35.20896880767175,-7640.346231264628,-35.2089688076711,16084.692462529256,17443.41119865252,1e-06,True,0.00010841129238159386,0.0
