cluster,n_factors,feature,communality,uniqueness
2,6,public_and_publicly_guaranteed_debt_service_percent_of_exports_of_goods_services_and_primary_income,0.0004963940791312742,1e-12
2,6,inflation_consumer_prices_annual_percent,0.4947314236780099,0.4427700073479989
2,6,net_investment_in_nonfinancial_assets_percent_of_gdp,0.36451810398422674,0.6612069733476198
2,6,taxes_on_goods_and_services_percent_of_revenue,0.4951385215253602,0.5388910883628029
2,6,taxes_on_goods_and_services_percent_value_added_of_industry_and_services,0.6156913376288478,0.6347149017943206
2,6,goods_and_services_expense_percent_of_expense,0.47974036979050283,0.8561819007651092
2,6,statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,0.3394196233290703,0.3816742743875213
2,6,logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,0.3664727639451016,0.24261664297382401
2,6,exports_of_goods_and_services_current_usd,0.4973307817272637,8.08983379324002e-05
2,6,exports_of_goods_and_services_constant_2015_usd,0.5999197988815179,0.012934161241263342
2,6,exports_of_goods_and_services_annual_percent_growth,0.05808245649696934,0.24375876143004732
2,6,exports_of_goods_and_services_percent_of_gdp,0.7531468364123631,0.0012876990701286006
2,6,imports_of_goods_and_services_current_usd,0.543337547745689,8.779297807559594e-05
2,6,imports_of_goods_and_services_constant_2015_usd,0.6466270662001324,0.00869519612848313
2,6,imports_of_goods_and_services_annual_percent_growth,0.1330357241834008,0.5298284574326427
2,6,imports_of_goods_and_services_percent_of_gdp,1.0662903448672527,0.0010735097663807647
2,6,external_balance_on_goods_and_services_percent_of_gdp,0.47615500948741607,0.0881653084578159
2,6,services_value_added_per_worker_constant_2015_usd,0.08558711853056489,0.10701623662511714
2,6,services_value_added_current_usd,0.44599971246242087,0.08283452630984145
2,6,services_value_added_constant_2015_usd,0.556005603822684,0.01840671476787148
2,6,services_value_added_annual_percent_growth,0.22184573447421566,0.7026698782069222
2,6,services_value_added_percent_of_gdp,0.5123929646556685,0.25912246045065446
2,6,inflation_gdp_deflator_annual_percent,0.6754422693558753,0.0004001124763436392
2,6,inflation_gdp_deflator_linked_series_annual_percent,0.673176145694582,0.000443455436998752
2,6,foreign_direct_investment_net_bop_percent_of_gdp,0.14520647878673287,1.0433838846029813
3,7,trade_in_services_percent_of_gdp,0.6238302677327393,0.3704432148797079
3,7,imports_of_goods_and_services_bop_current_usd,0.9231839938755962,0.0023804766476437367
3,7,insurance_and_financial_services_percent_of_service_imports_bop,0.10794982867854966,0.7801804154958163
3,7,imports_of_goods_services_and_primary_income_bop_current_usd,0.9104681936320881,0.0013790401887442405
3,7,transport_services_percent_of_service_imports_bop,0.11307368612803015,0.5890496043931488
3,7,travel_services_percent_of_service_imports_bop,0.086758900391018,0.803164763765218
3,7,foreign_direct_investment_net_outflows_percent_of_gdp,0.06323421433128128,0.21657645759197802
3,7,portfolio_investment_net_bop_current_usd,0.032232978191448755,0.4295603594165298
3,7,exports_of_goods_and_services_bop_current_usd,0.8831823934663435,0.008879752013131514
3,7,insurance_and_financial_services_percent_of_service_exports_bop,0.12880345848405753,0.7595639446201163
3,7,exports_of_goods_services_and_primary_income_bop_current_usd,0.8568359137571495,0.006199704042008203
3,7,transport_services_percent_of_service_exports_bop,0.15288459903351675,0.670100296615526
3,7,travel_services_percent_of_service_exports_bop,0.2255288094142121,0.6368346526867577
3,7,foreign_direct_investment_net_inflows_percent_of_gdp,0.7784798215830486,0.1401998884124045
3,7,short_term_debt_percent_of_exports_of_goods_services_and_primary_income,0.1964489892410816,0.8818217289394674
3,7,net_oda_received_percent_of_imports_of_goods_services_and_primary_income,0.5371291305546931,0.5999129835797381
3,7,total_debt_service_percent_of_exports_of_goods_services_and_primary_income,0.7579506859996037,0.4584562909880723
3,7,debt_service_ppg_and_imf_only_percent_of_exports_of_goods_services_and_primary_income,1.1243515419424426,0.0958307968052714
3,7,public_and_publicly_guaranteed_debt_service_percent_of_exports_of_goods_services_and_primary_income,1.1056643023181787,0.06121902906341292
3,7,inflation_consumer_prices_annual_percent,0.32559932408953157,0.5782136365740789
3,7,net_investment_in_nonfinancial_assets_percent_of_gdp,0.09370205025333171,0.615525225643932
3,7,taxes_on_goods_and_services_percent_of_revenue,0.11288754187720755,0.9138378642904625
3,7,taxes_on_goods_and_services_percent_value_added_of_industry_and_services,0.24786921964389064,0.7060351336238719
3,7,goods_and_services_expense_percent_of_expense,0.14026886553985712,0.6607519636036527
3,7,statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,0.2888904425886298,0.518643823459723
3,7,logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,0.1263786853088879,0.3951469123561001
3,7,exports_of_goods_and_services_current_usd,0.8608228748230271,0.0023913480162162104
3,7,exports_of_goods_and_services_constant_2015_usd,0.6140571504496264,0.16101333205523716
3,7,exports_of_goods_and_services_annual_percent_growth,0.3391781103739553,0.9084716678888443
3,7,exports_of_goods_and_services_percent_of_gdp,0.7132463799907881,0.005826586282486224
3,7,imports_of_goods_and_services_current_usd,0.8768445094696787,0.0014048110111141154
3,7,imports_of_goods_and_services_constant_2015_usd,0.636181564320963,0.17305564308889043
3,7,imports_of_goods_and_services_annual_percent_growth,0.10824563216317451,0.8049300297589896
3,7,imports_of_goods_and_services_percent_of_gdp,0.9085582121439676,0.03267106542588949
3,7,external_balance_on_goods_and_services_percent_of_gdp,0.9648118181101009,0.09606356260555715
3,7,services_value_added_per_worker_constant_2015_usd,0.005611331192326078,0.07202961737244505
3,7,services_value_added_current_usd,0.7244205382315478,0.23664547787083312
3,7,services_value_added_constant_2015_usd,0.7182239949578441,0.2353717737921026
3,7,services_value_added_annual_percent_growth,0.16409605753587037,0.9317443889248135
3,7,services_value_added_percent_of_gdp,0.14481005689663953,0.6921759973730027
3,7,inflation_gdp_deflator_annual_percent,1.0202374172156257,4.158795281261618e-06
3,7,inflation_gdp_deflator_linked_series_annual_percent,1.020834890116423,4.1295004133967694e-06
3,7,foreign_direct_investment_net_bop_percent_of_gdp,0.8984134307193373,0.11020678277830587
