country_name,iso3_country_code,world_bank_region,world_bank_income_group,observation_year,cluster,n_factors
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2022,3,9
South Sudan,SSD,Sub-Saharan Africa,Low income,2022,3,9
Spain,ESP,Europe & Central Asia,High income,2022,2,6
Sri Lanka,LKA,South Asia,Lower middle income,2022,3,9
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,2022,3,9
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,2022,3,9
St. Martin (French part),MAF,Latin America & Caribbean,High income,2022,3,9
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,2022,3,9
Sudan,SDN,Sub-Saharan Africa,Low income,2022,1,6
Suriname,SUR,Latin America & Caribbean,Upper middle income,2022,3,9
Sweden,SWE,Europe & Central Asia,High income,2022,2,6
Switzerland,CHE,Europe & Central Asia,High income,2022,2,6
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,2022,1,6
Tajikistan,TJK,Europe & Central Asia,Lower middle income,2022,1,6
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,2022,1,6
Thailand,THA,East Asia & Pacific,Upper middle income,2022,3,9
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,2022,1,6
Togo,TGO,Sub-Saharan Africa,Low income,2022,1,6
Tonga,TON,East Asia & Pacific,Upper middle income,2022,3,9
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,2022,2,6
Tunisia,TUN,Middle East & North Africa,Lower middle income,2022,3,9
Turkiye,TUR,Europe & Central Asia,Upper middle income,2022,2,6
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,2022,3,9
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,2022,3,9
Tuvalu,TUV,East Asia & Pacific,Upper middle income,2022,3,9
Uganda,UGA,Sub-Saharan Africa,Low income,2022,1,6
Ukraine,UKR,Europe & Central Asia,Upper middle income,2022,3,9
United Arab Emirates,ARE,Middle East & North Africa,High income,2022,2,6
United Kingdom,GBR,Europe & Central Asia,High income,2022,2,6
United States,USA,North America,High income,2022,3,9
Uruguay,URY,Latin America & Caribbean,High income,2022,2,6
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2022,3,9
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2022,3,9
"Venezuela, RB",VEN,Latin America & Caribbean,Not classified,2022,3,9
Viet Nam,VNM,East Asia & Pacific,Lower middle income,2022,3,9
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,2022,3,9
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,2022,3,9
"Yemen, Rep.",YEM,Middle East & North Africa,Low income,2022,3,9
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,2022,1,6
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,2022,1,6
Puerto Rico,PRI,Latin America & Caribbean,High income,2022,3,9
Somalia,SOM,Sub-Saharan Africa,Low income,2022,3,9
