eigenvalue_rank,observed_eigenvalue,permutation_threshold,retain
1,9.7391387018716,3.854987052143172,True
2,4.005753070251047,3.444485385911256,True
3,3.6410671084065673,3.1020428519164183,True
4,3.386942462805212,2.8614035852558706,True
5,3.007859444031333,2.6410164670696568,True
6,2.1458602112116196,2.4609060721126927,False
7,1.9427313782598183,2.295196738318295,False
8,1.8807742794292477,2.145716930937139,False
9,1.6450227988447692,1.9855916351709932,False
10,1.463660236545004,1.8705041504836528,False
11,1.3059406847760369,1.7459009929284035,False
12,1.1446301623749329,1.6352751620220387,False
13,0.9779100271155785,1.5086834444732025,False
14,0.9573264417853695,1.408538539709268,False
15,0.7931799220267923,1.3199552336956029,False
16,0.7649407538166972,1.2179846806230148,False
17,0.5996007792053252,1.134543905806283,False
18,0.5159580276649816,1.0506218196744532,False
19,0.47722603192310303,0.9630970467709631,False
20,0.4050641416385803,0.8920236798769391,False
21,0.3549107543094139,0.8199313157123088,False
22,0.31155113530317907,0.7454178175962811,False
23,0.3030528165562097,0.6859068859144879,False
24,0.2235982319567268,0.6194412815904344,False
25,0.20761824015561484,0.5622260649242719,False
26,0.16924535630762425,0.5047669511318049,False
27,0.13527607333601305,0.4515925609913156,False
28,0.12781073929572467,0.40192725825771364,False
29,0.09936352848209967,0.3545237307971102,False
30,0.07293386738511995,0.31392968258263726,False
31,0.0645061900200169,0.27217404736272355,False
32,0.043237225443211624,0.23421302435012506,False
33,0.03163897154541976,0.20077790870146522,False
34,0.02264592427009102,0.1687275703949585,False
35,0.013183691079752754,0.1405430162033828,False
36,0.011659654310347543,0.11384402096094727,False
37,0.0033552299678122448,0.08975366076668356,False
38,0.0023216190454243076,0.07088326984339435,False
39,0.0008020714604746188,0.05143388652456295,False
40,0.0005053663846598654,0.0361642638855021,False
41,0.0001818480189837317,0.022008528834725427,False
42,1.4789344729809196e-05,0.012439900912738944,False
43,1.2037735721095832e-08,0.005667203262793806,False
