eigenvalue_rank,observed_eigenvalue,permutation_threshold,retain
1,13.43666202336512,5.661483472394436,True
2,9.555764233616681,4.791073223398646,True
3,6.041810850437935,4.290174400758403,True
4,4.2405289654139136,3.957715928563694,True
5,3.925016943038929,3.640432565598588,True
6,3.205468444634266,3.3780902115686615,False
7,3.024698390230268,3.16073223385704,False
8,2.1824474145928217,2.9432468895406907,False
9,1.868395653170146,2.760021499846202,False
10,1.8131339846086303,2.586359850737042,False
11,1.4476269735665823,2.4166210638034133,False
12,1.3821310254198036,2.2527008394869825,False
13,1.0778942428777372,2.109713626674127,False
14,0.8205036141937886,1.9761452173981655,False
15,0.6909181510063424,1.8466320752977907,False
16,0.6388038057821627,1.7075987226930047,False
17,0.6070537460404254,1.585005085402223,False
18,0.4570251972229013,1.4648582125806544,False
19,0.3401714278937247,1.370017153543978,False
20,0.27849053673552093,1.2595895537597606,False
21,0.2577333452768017,1.1443915468176273,False
22,0.20904213702440402,1.0549373746684192,False
23,0.12632658335267694,0.9600579283518039,False
24,0.10464511335882123,0.8717853871887913,False
25,0.07769480744668802,0.7774340565672138,False
26,0.06169755866029503,0.683269872642996,False
27,0.05301650845580508,0.5997378195429611,False
28,0.03253910660984789,0.5235185904641962,False
29,0.017296591040748398,0.4464122056530683,False
30,0.010821865033754,0.3763908468009053,False
31,0.00748162426691396,0.3077771984081599,False
32,0.006064783031757596,0.24832941312321224,False
33,0.0010943525937978438,0.17720570015297893,False
34,1.9639822102033317e-15,1.4771624465675517e-15,False
35,1.5707604991202615e-15,1.1615861191740568e-15,False
36,1.2559692285851292e-15,9.474219620263375e-16,False
37,1.1188439639560188e-15,8.039307240646655e-16,False
38,8.124416905302074e-16,6.68987265768767e-16,False
39,8.023293231177593e-16,5.66882679851413e-16,False
40,5.764005900506991e-16,4.566042717831036e-16,False
41,4.954659737663334e-16,3.7781754013143827e-16,False
42,3.176238001970428e-16,2.930264816415646e-16,False
43,2.2811467361540625e-16,2.07978542684199e-16,False
44,1.5441625661249917e-16,1.4351096662393334e-16,False
45,5.001130396293679e-17,6.056305456300842e-17,False
46,-4.628068301551153e-18,-2.4337321793838928e-18,False
47,-7.303664736359417e-17,-7.463102894620614e-17,False
48,-2.790440737216725e-16,-1.4308307300867333e-16,False
49,-4.610763070449488e-16,-2.1341495801954665e-16,False
50,-5.475470670422998e-16,-2.863148593718247e-16,False
51,-6.027954465123441e-16,-3.5402585126853953e-16,False
52,-7.404840346616324e-16,-4.340164939962245e-16,False
53,-8.103631125415952e-16,-5.126949097541049e-16,False
54,-8.739753944760629e-16,-6.016572771323206e-16,False
55,-1.221652494623277e-15,-6.926964040347792e-16,False
56,-1.4483098654763457e-15,-8.19262374490523e-16,False
57,-1.6281160151413903e-15,-9.543063025176423e-16,False
58,-2.096359152806778e-15,-1.1420657041619611e-15,False
