specification_id,scope,cluster,eigenvalue_rank,observed_eigenvalue,permutation_threshold,retain
8,cluster_3,3,25,0.11733188576333124,0.4437303880849841,False
8,cluster_3,3,26,0.09374841593715758,0.38734432880282993,False
8,cluster_3,3,27,0.07117736861828439,0.3308952976688869,False
8,cluster_3,3,28,0.06251432287556621,0.2768068463251142,False
8,cluster_3,3,29,0.033735592143890714,0.23208453684019195,False
8,cluster_3,3,30,0.023747170436641242,0.18859742651440844,False
8,cluster_3,3,31,0.017153318574950283,0.15280326601716399,False
8,cluster_3,3,32,0.00813494618725071,0.11585240790765693,False
8,cluster_3,3,33,0.004041595699511228,0.08716320741042334,False
8,cluster_3,3,34,0.0018670119908123777,0.061552030927692125,False
8,cluster_3,3,35,0.0009274571281374546,0.03926562366282817,False
8,cluster_3,3,36,6.742361291124451e-16,8.736518879834383e-16,False
8,cluster_3,3,37,5.267696833956332e-16,5.678724587918979e-16,False
8,cluster_3,3,38,3.4968088430995327e-16,3.3222620462286776e-16,False
8,cluster_3,3,39,5.157117425694186e-17,1.62397808455234e-16,False
8,cluster_3,3,40,-1.0691988153344607e-16,5.477305386552557e-18,False
8,cluster_3,3,41,-2.348373830342434e-16,-1.5310593239234371e-16,False
8,cluster_3,3,42,-6.411795111951947e-16,-2.9517297201593565e-16,False
8,cluster_3,3,43,-1.1859950121453002e-15,-5.168078129209058e-16,False
8,cluster_4,4,1,11.686153217113812,3.8839106196120063,True
8,cluster_4,4,2,5.638231918880868,3.4460545253218227,True
8,cluster_4,4,3,3.7906784453746685,3.0886772867299648,True
8,cluster_4,4,4,3.3961217114260447,2.843931203713858,True
8,cluster_4,4,5,3.1527134443618987,2.632017357073446,True
8,cluster_4,4,6,2.4812097002991695,2.458601209182807,True
8,cluster_4,4,7,2.0330373924921092,2.291717322357716,False
8,cluster_4,4,8,1.7592380984299014,2.1356093347388505,False
8,cluster_4,4,9,1.3446677648252876,1.9966250235014764,False
8,cluster_4,4,10,1.1270119732163875,1.8671659178921576,False
8,cluster_4,4,11,1.0719319861374503,1.7491984682708714,False
8,cluster_4,4,12,0.7970802575843025,1.6308894269550513,False
8,cluster_4,4,13,0.7317865323694595,1.5243088207811781,False
8,cluster_4,4,14,0.6891346848961356,1.416532192336931,False
8,cluster_4,4,15,0.5763104981506851,1.322064724976152,False
8,cluster_4,4,16,0.4454822847816876,1.2319878648906992,False
8,cluster_4,4,17,0.3997987217967479,1.1405097615983177,False
8,cluster_4,4,18,0.362238873833695,1.0513110496309457,False
8,cluster_4,4,19,0.26941704023703156,0.9757756000876847,False
8,cluster_4,4,20,0.22756078234481464,0.8920924255485224,False
8,cluster_4,4,21,0.21269202878770968,0.8234021674801177,False
8,cluster_4,4,22,0.16471819825718767,0.7492111873070313,False
8,cluster_4,4,23,0.15308295407633224,0.6906207040006511,False
8,cluster_4,4,24,0.11939925645932885,0.6221905970124582,False
8,cluster_4,4,25,0.07253490564521312,0.5630878695917259,False
8,cluster_4,4,26,0.06913181447391809,0.5054734972556909,False
8,cluster_4,4,27,0.06469439510234674,0.450695234865323,False
8,cluster_4,4,28,0.04687050753012385,0.405485482082179,False
8,cluster_4,4,29,0.041699885292082316,0.3593547996817927,False
8,cluster_4,4,30,0.029651719145691365,0.31989905976505423,False
8,cluster_4,4,31,0.017523738297481935,0.27394987463192844,False
8,cluster_4,4,32,0.011945227250538681,0.23669045158449356,False
8,cluster_4,4,33,0.007873197020407573,0.20218387178703529,False
8,cluster_4,4,34,0.00384597954189831,0.17021816249232138,False
8,cluster_4,4,35,0.0025349935275338184,0.14072869717800984,False
8,cluster_4,4,36,0.0008526466351428779,0.11304147913468422,False
8,cluster_4,4,37,0.0006185900203015835,0.08984249904493873,False
8,cluster_4,4,38,0.00027640709232128,0.06947635759498967,False
8,cluster_4,4,39,0.000162925530868416,0.05243227412147042,False
8,cluster_4,4,40,7.550327665786624e-05,0.035658985362500756,False
8,cluster_4,4,41,9.669448495621648e-06,0.021454230852697053,False
8,cluster_4,4,42,1.2903626194363998e-07,0.012266915952003308,False
8,cluster_4,4,43,9.19628726500733e-16,0.005044122692537874,False
9,cluster_1,1,1,12.271217249813699,4.625138941621043,True
9,cluster_1,1,2,4.443808337091082,3.993206240083766,True
9,cluster_1,1,3,3.5581461822136697,3.5942111142732607,False
9,cluster_1,1,4,3.0713819124856943,3.271020036633457,False
9,cluster_1,1,5,2.6797801722304477,2.9966445770578813,False
9,cluster_1,1,6,2.335960313586835,2.753190019076806,False
9,cluster_1,1,7,2.1857009738868034,2.540729981141486,False
9,cluster_1,1,8,1.8129085491473338,2.350910680464323,False
9,cluster_1,1,9,1.5423180827477347,2.1667346650885153,False
9,cluster_1,1,10,1.4336450156950347,2.0019655240352363,False
9,cluster_1,1,11,1.3161709918113256,1.8347662045177122,False
9,cluster_1,1,12,1.1220849934775257,1.694406698397348,False
9,cluster_1,1,13,0.8933946150670649,1.5502241828153573,False
9,cluster_1,1,14,0.8423883000880155,1.4188114667512814,False
9,cluster_1,1,15,0.6049219249473733,1.3062185404547428,False
9,cluster_1,1,16,0.4956049291794992,1.1850160846020756,False
9,cluster_1,1,17,0.4485067088222911,1.077328971977228,False
9,cluster_1,1,18,0.38941437405670504,0.9836457863575065,False
9,cluster_1,1,19,0.29810296346577914,0.8734149478706283,False
9,cluster_1,1,20,0.2525583328402512,0.7794390728229953,False
9,cluster_1,1,21,0.22742381315629598,0.6975404272820717,False
