specification_id,clustering_features,n_clustering_features,n_clusters,scope,cluster,n_observations,n_input_variables,n_variables,n_dropped_constant,silhouette_score,suggested_factors
11,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high | statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,3,2,cluster_2,2,59,58,58,0,0.48211808553742314,7
12,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high | statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,3,3,cluster_1,1,68,58,58,0,0.3740345556347403,8
12,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high | statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,3,3,cluster_2,2,44,58,58,0,0.3740345556347403,6
12,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high | statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,3,3,cluster_3,3,105,58,58,0,0.3740345556347403,9
13,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high | statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,3,4,cluster_1,1,47,58,58,0,0.4186827316052563,6
13,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high | statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,3,4,cluster_2,2,44,58,58,0,0.4186827316052563,6
13,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high | statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,3,4,cluster_3,3,107,58,58,0,0.4186827316052563,9
13,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high | statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,3,4,cluster_4,4,19,58,58,0,0.4186827316052563,3
14,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high | statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,3,5,cluster_1,1,41,58,58,0,0.43033844188313713,6
14,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high | statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,3,5,cluster_2,2,80,58,58,0,0.43033844188313713,8
14,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high | statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,3,5,cluster_3,3,18,58,58,0,0.43033844188313713,3
14,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high | statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,3,5,cluster_4,4,35,58,58,0,0.43033844188313713,5
14,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high | statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,3,5,cluster_5,5,43,58,58,0,0.43033844188313713,6
15,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high | statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,3,6,cluster_1,1,26,58,58,0,0.42123712476920505,4
15,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high | statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,3,6,cluster_2,2,78,58,58,0,0.42123712476920505,8
15,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high | statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,3,6,cluster_3,3,18,58,58,0,0.42123712476920505,3
15,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high | statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,3,6,cluster_4,4,41,58,58,0,0.42123712476920505,6
15,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high | statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,3,6,cluster_5,5,27,58,53,5,0.42123712476920505,5
15,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high | statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,3,6,cluster_6,6,27,58,58,0,0.42123712476920505,4
